timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
3304465,32767,32767,32767,32767,32767,32767,32767,32767
3308465,32767,32767,32767,32767,32767,32767,32767,32767
3312480,32767,32767,32767,32767,32767,-64,32767,32767
3316472,32767,32767,32767,32767,32767,32767,32767,32767
3320496,32767,32767,32767,32767,32767,-40,32767,32767
3324465,32767,32767,32767,32767,-70,32767,32767,32767
3328442,32767,32767,32767,32767,32767,32767,32767,32767
3332477,32767,32767,32767,32767,32767,-63,32767,32767
3336472,32767,32767,32767,32767,-76,32767,32767,32767
3340491,32767,32767,32767,32767,32767,-40,32767,32767
3344465,32767,32767,32767,32767,-50,32767,32767,32767
3348472,32767,32767,32767,32767,32767,32767,32767,32767
3352465,32767,32767,32767,32767,32767,-72,32767,32767
3356471,32767,32767,32767,32767,32767,32767,32767,32767
3360465,32767,32767,32767,32767,32767,-40,32767,32767
3364465,32767,32767,32767,32767,32767,32767,32767,32767
3368472,32767,32767,32767,32767,-70,32767,32767,32767
3372465,32767,32767,32767,32767,32767,-72,32767,32767
3376513,32767,32767,32767,32767,32767,32767,32767,32767
3380442,32767,32767,32767,32767,-73,-39,32767,32767
3384465,32767,32767,32767,32767,32767,32767,32767,32767
3388472,32767,32767,32767,32767,-50,32767,32767,32767
3392465,32767,32767,32767,32767,32767,-72,32767,32767
3396476,32767,32767,32767,32767,32767,32767,32767,32767
3400465,32767,32767,32767,32767,32767,-55,32767,32767
3404465,32767,32767,32767,32767,32767,32767,32767,32767
3408501,32767,32767,32767,32767,32767,32767,32767,32767
3412476,32767,32767,32767,32767,-70,-72,32767,32767
3416483,32767,32767,32767,32767,32767,32767,32767,32767
3420465,32767,32767,32767,32767,-50,-40,32767,32767
3424465,32767,32767,32767,32767,32767,32767,32767,32767
3428513,32767,32767,32767,32767,32767,32767,32767,32767
3432465,32767,32767,32767,32767,-60,-72,32767,32767
3436471,32767,32767,32767,32767,32767,32767,32767,32767
3440465,32767,32767,32767,32767,32767,-64,32767,32767
3444471,32767,32767,32767,32767,32767,32767,32767,32767
3448481,32767,32767,32767,32767,32767,-40,32767,32767
3452465,32767,32767,32767,32767,32767,32767,32767,32767
3456472,32767,32767,32767,32767,-74,32767,32767,32767
3460502,32767,32767,32767,32767,32767,-65,32767,32767
3464472,32767,32767,32767,32767,-50,32767,32767,32767
3468489,32767,32767,32767,32767,32767,-40,32767,32767
3472465,32767,32767,32767,32767,32767,32767,32767,32767
3477309,32767,32767,32767,32767,-69,32767,32767,32767
3481242,32767,32767,32767,32767,32767,-72,32767,32767
3485280,32767,32767,32767,32767,32767,32767,32767,32767
3489292,32767,32767,32767,32767,32767,-40,32767,32767
3493266,32767,32767,32767,32767,32767,32767,32767,32767
3497292,32767,32767,32767,32767,-47,32767,32767,32767
3501266,32767,32767,32767,32767,32767,-72,32767,32767
3505272,32767,32767,32767,32767,32767,32767,32767,32767
3509294,32767,32767,32767,32767,-58,-48,32767,32767
3513268,32767,32767,32767,32767,32767,32767,32767,32767
3517282,32767,32767,32767,32767,32767,32767,32767,32767
3521265,32767,32767,32767,32767,-67,-72,32767,32767
3525266,32767,32767,32767,32767,32767,32767,32767,32767
3529297,32767,32767,32767,32767,32767,-64,32767,32767
3533272,32767,32767,32767,32767,32767,32767,32767,32767
