timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
3237785,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8618357e-10,8.771952e-06,0.000567955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3442723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0545989e-09,1.1033779e-05,0.00061955984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3643522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2534922e-09,1.4397494e-05,0.00062816817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3848376,0.93099856,-0.0143281175,0.008764362,-0.3646364,-0.00054003677,-0.0009948062,0.0031469523,-2.171758e-06,-4.0006134e-06,2.4305271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,1.1438704e-09,1.4420632e-05,0.000622886,0.00033319072,0.0023860543,0.002386269,0.0021679236,25.000067,25.000069,0.56252605,0.25099164,0.25099164,4.000145,6.4000005e-07,6.4000005e-07,6.4000005e-07,2.5600002e-06,2.5600002e-06,2.5600002e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4053190,0.93118393,-0.015939945,0.007038782,-0.36413318,-0.006040963,-0.006719404,0.04115261,-0.0003982544,-0.00030487194,0.23262815,-2.768281e-09,-3.1648504e-08,9.54432e-07,-1.2295499e-09,8.883802e-09,-5.539079e-07,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,1.2054094e-09,1.4685002e-05,0.0006328609,0.00017443902,0.0025098536,0.002509877,0.001139934,4.955021,4.9550242,0.561392,0.09003575,0.090035774,0.4074745,6.399986e-07,6.3998993e-07,6.323996e-07,2.5599572e-06,2.5599572e-06,2.5599882e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00012643024,0.0,7.1119375e-06,0.03883457,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4253929,0.9318833,-0.01698996,0.0055361874,-0.36231813,-0.01900065,-0.02353175,0.055312127,-0.0012452086,-0.0014100033,0.2186841,-5.2198516e-08,6.5497495e-08,-1.8153653e-06,-1.0215883e-08,-1.10409225e-07,-6.330455e-07,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,1.4786784e-09,1.7040195e-05,0.0006109019,0.00014461415,0.0028228026,0.002822884,0.00095114415,0.9158695,0.9158705,0.5483476,0.05369645,0.053696465,0.2359726,6.3990433e-07,6.3986664e-07,6.0758987e-07,2.5595161e-06,2.5595166e-06,2.5596923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.014062256,0.0,2.3499157e-05,0.0038562685,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4455523,0.93132454,-0.019004846,0.005361085,-0.36365473,-0.042509705,-0.039550267,0.088226,-0.004412594,-0.0038745503,0.2424884,-9.0120295e-07,-9.713353e-07,2.8913491e-05,-6.925003e-08,-1.0445905e-06,-1.1378877e-06,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,1.4138587e-09,1.6574697e-05,0.0006996796,0.00013427324,0.003282237,0.003282499,0.0008849786,0.391933,0.39193258,0.5141424,0.0381925,0.038192526,0.19385156,6.3872625e-07,6.386244e-07,5.543346e-07,2.557431e-06,2.5574325e-06,2.5580014e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.048335705,0.0,7.3388386e-05,0.007273701,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4655497,0.9304835,-0.020516286,0.0044155577,-0.3657324,-0.043582715,-0.063594535,0.12199533,-0.006305327,-0.007877828,0.27383095,-5.5049272e-06,-2.385742e-06,6.742279e-05,-8.582625e-08,-5.1122547e-06,-3.8372277e-06,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,1.3655146e-09,1.5322592e-05,0.0005351588,0.00012938015,0.0037134541,0.0037140327,0.0008474371,0.31210613,0.31208965,0.45458347,0.030399404,0.03039918,0.18468422,6.306523e-07,6.3045326e-07,4.7322666e-07,2.550309e-06,2.5503136e-06,2.552357e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00963132,0.0,0.00015685051,0.01591293,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4861231,0.9306349,-0.020262273,0.0030861644,-0.3653747,-0.04199457,-0.05885442,0.11896624,-0.0074968273,-0.010222374,0.2856313,-1.6640995e-05,-3.8443973e-06,7.469374e-05,7.450149e-07,-1.3252794e-05,2.3955054e-06,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,1.2081798e-09,1.4854138e-05,0.0006744841,0.0001315866,0.00389184,0.0038927766,0.0008586533,0.3458294,0.34580413,0.38504308,0.028919972,0.028919347,0.18444349,6.059691e-07,6.056974e-07,3.940153e-07,2.5375577e-06,2.5375707e-06,2.5410573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.008483597,0.0,0.00020697463,0.0028028518,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
5061910,0.9307969,-0.018738406,0.002364022,-0.36504862,-0.040065546,-0.046111245,0.10980534,-0.0069723553,-0.009498521,0.2763133,-3.521275e-05,-6.067715e-06,7.196481e-05,2.0221341e-06,-2.3891898e-05,1.9039326e-05,0.46556893,0.003270046,0.3136712,0.0,0.0,0.0,0.0,0.0,0.0,9.577076e-10,1.38583955e-05,0.00067474914,0.0001324737,0.0035317664,0.0035328206,0.00086079526,0.35379,0.3537625,0.31497645,0.028562466,0.028561665,0.1824359,5.515333e-07,5.51234e-07,3.1996112e-07,2.521153e-06,2.521176e-06,2.5216602e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.0077353697,0.0,0.00020203437,0.011081683,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
