timestamp,safety_switch_available,safety_off,override_available,override_enabled
3238772,1,1,0,0
3260804,1,1,0,0
3282787,1,1,0,0
3304800,1,1,0,0
3326767,1,1,0,0
3348766,1,1,0,0
3370774,1,1,0,0
3391123,1,1,0,0
3415121,1,1,0,0
3435128,1,1,0,0
3455147,1,1,0,0
3479123,1,1,0,0
3499120,1,1,0,0
3523121,1,1,0,0
3547137,1,1,0,0
3567122,1,1,0,0
3588005,1,1,0,0
3607999,1,1,0,0
3631893,1,1,0,0
3655985,1,1,0,0
3679917,1,1,0,0
3703928,1,1,0,0
3723952,1,1,0,0
3744736,1,1,0,0
3764766,1,1,0,0
3788717,1,1,0,0
3808721,1,1,0,0
3828717,1,1,0,0
3848722,1,1,0,0
3872756,1,1,0,0
3892768,1,1,0,0
3916721,1,1,0,0
3937541,1,1,0,0
3957544,1,1,0,0
3981507,1,1,0,0
4001512,1,1,0,0
4021569,1,1,0,0
4045552,1,1,0,0
4069524,1,1,0,0
4089530,1,1,0,0
4110302,1,1,0,0
4130293,1,1,0,0
4154326,1,1,0,0
4178303,1,1,0,0
4202333,1,1,0,0
4222321,1,1,0,0
4242358,1,1,0,0
4266340,1,1,0,0
4286306,1,1,0,0
4307938,1,1,0,0
4331924,1,1,0,0
4355958,1,1,0,0
4379917,1,1,0,0
4399919,1,1,0,0
4423926,1,1,0,0
4443938,1,1,0,0
4467923,1,1,0,0
4487926,1,1,0,0
4511961,1,1,0,0
4535920,1,1,0,0
4559919,1,1,0,0
4579917,1,1,0,0
4599919,1,1,0,0
4623925,1,1,0,0
4643925,1,1,0,0
4663943,1,1,0,0
4684717,1,1,0,0
4704739,1,1,0,0
4728719,1,1,0,0
4748717,1,1,0,0
4768722,1,1,0,0
4788720,1,1,0,0
4812757,1,1,0,0
4832801,1,1,0,0
4853565,1,1,0,0
4877534,1,1,0,0
4897523,1,1,0,0
4921565,1,1,0,0
4945560,1,1,0,0
4969527,1,1,0,0
4993523,1,1,0,0
5017526,1,1,0,0
5038299,1,1,0,0
5058301,1,1,0,0
5082338,1,1,0,0
5102341,1,1,0,0
5126322,1,1,0,0
5150356,1,1,0,0
5170363,1,1,0,0
5194295,1,1,0,0
5218325,1,1,0,0
5239131,1,1,0,0
5263128,1,1,0,0
5287143,1,1,0,0
5311158,1,1,0,0
5331160,1,1,0,0
5355170,1,1,0,0
5375165,1,1,0,0
5395926,1,1,0,0
5419974,1,1,0,0
5443926,1,1,0,0
5463924,1,1,0,0
5483929,1,1,0,0
5507930,1,1,0,0
5527954,1,1,0,0
5547958,1,1,0,0
5571934,1,1,0,0
5591930,1,1,0,0
5611933,1,1,0,0
5631934,1,1,0,0
5652719,1,1,0,0
5672726,1,1,0,0
