timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
3222447,373.80365,20.93,96915.0,1.1515105
3244440,374.40875,20.93,96907.99,1.1514273
3255472,374.23434,20.93,96910.0,1.1514511
3266436,374.23434,20.93,96910.0,1.1514511
3288436,374.23434,20.939999,96910.0,1.1514511
3299435,374.5805,20.939999,96906.0,1.1514035
3310466,374.49332,20.939999,96907.0,1.1514155
3332435,374.5805,20.949999,96906.0,1.1514035
3343447,375.0112,20.949999,96900.99,1.1513441
3354435,374.32156,20.949999,96909.0,1.1514392
3375479,374.14716,20.96,96911.0,1.151463
3386905,374.49332,20.96,96907.0,1.1514155
3397471,374.32156,20.96,96909.0,1.1514392
3419503,374.14716,20.97,96911.0,1.151463
3430905,374.49332,20.97,96907.0,1.1514155
3441474,374.75226,20.97,96904.0,1.1513798
3463447,373.9754,20.97,96913.0,1.1514868
3475112,374.75226,20.97,96904.0,1.1513798
3485472,374.06262,20.97,96912.0,1.1514748
3507435,374.40875,20.98,96907.99,1.1514273
3518912,374.23434,20.98,96910.0,1.1514511
3529460,374.5805,20.98,96906.0,1.1514035
3551478,374.06262,20.99,96912.0,1.1514748
3563114,374.23434,20.99,96910.0,1.1514511
3573466,374.40875,20.99,96907.99,1.1514273
3595966,374.23434,20.99,96910.0,1.1514511
3605504,374.40875,20.99,96907.99,1.1514273
3616448,374.23434,20.99,96910.0,1.1514511
3638480,374.5805,21.0,96906.0,1.1514035
3649521,374.14716,21.0,96911.0,1.151463
3660446,374.66507,21.0,96905.0,1.1513917
3682446,374.23434,21.01,96910.0,1.1514511
3693494,374.06262,21.01,96912.0,1.1514748
3704446,374.5805,21.01,96906.0,1.1514035
3726484,374.32156,21.01,96909.0,1.1514392
3737508,374.40875,21.01,96907.99,1.1514273
3748526,374.32156,21.01,96909.0,1.1514392
3770446,373.89087,21.02,96913.99,1.1514986
3781528,374.06262,21.02,96912.0,1.1514748
3792478,373.62927,21.02,96917.0,1.1515343
3814446,373.89087,21.029999,96913.99,1.1514986
3825577,374.40875,21.029999,96907.99,1.1514273
3837705,374.23434,21.029999,96910.0,1.1514511
3859446,374.32156,21.029999,96909.0,1.1514392
3870446,373.80365,21.029999,96915.0,1.1515105
3881495,374.66507,21.029999,96905.0,1.1513917
3902442,373.9754,21.029999,96913.0,1.1514868
3913499,374.23434,21.029999,96910.0,1.1514511
3925712,374.49332,21.029999,96907.0,1.1514155
3947437,374.5805,21.039999,96906.0,1.1514035
3958439,374.06262,21.039999,96912.0,1.1514748
3969487,374.5805,21.039999,96906.0,1.1514035
3991445,374.06262,21.05,96912.0,1.1514748
4002436,373.9754,21.05,96913.0,1.1514868
4014307,373.71646,21.05,96916.0,1.1515224
4035447,374.49332,21.05,96907.0,1.1514155
4046435,374.23434,21.05,96910.0,1.1514511
4057507,373.9754,21.05,96913.0,1.1514868
4079436,374.32156,21.06,96909.0,1.1514392
4090435,374.32156,21.06,96909.0,1.1514392
4102503,374.23434,21.06,96910.0,1.1514511
4124436,374.06262,21.06,96912.0,1.1514748
4135502,373.5447,21.06,96918.0,1.1515461
4146303,374.06262,21.06,96912.0,1.1514748
4166581,374.23434,21.07,96910.0,1.1514511
4178338,374.5805,21.07,96906.0,1.1514035
4188488,374.32156,21.07,96909.0,1.1514392
4210098,373.89087,21.07,96913.99,1.1514986
4220447,374.32156,21.07,96909.0,1.1514392
4230511,374.06262,21.07,96912.0,1.1514748
4254555,373.89087,21.08,96913.99,1.1514986
4266375,374.23434,21.08,96910.0,1.1514511
4276478,374.49332,21.08,96907.0,1.1514155
4297493,374.14716,21.08,96911.0,1.151463
4309336,374.06262,21.08,96912.0,1.1514748
4320116,374.14716,21.08,96911.0,1.151463
4341494,373.9754,21.09,96913.0,1.1514868
4352740,373.9754,21.09,96913.0,1.1514868
4363712,373.9754,21.09,96913.0,1.1514868
4385487,374.06262,21.1,96912.0,1.1514748
4395976,374.14716,21.1,96911.0,1.151463
4406435,373.89087,21.1,96913.99,1.1514986
4427685,374.40875,21.09,96907.99,1.1514273
4438436,374.32156,21.09,96909.0,1.1514392
4449510,374.14716,21.09,96911.0,1.151463
4470447,374.14716,21.1,96911.0,1.151463
4481582,373.9754,21.1,96913.0,1.1514868
4491636,374.06262,21.1,96912.0,1.1514748
4513580,374.06262,21.1,96912.0,1.1514748
4524488,373.80365,21.1,96915.0,1.1515105
4537292,374.06262,21.1,96912.0,1.1514748
4558436,374.32156,21.1,96909.0,1.1514392
4569483,374.23434,21.1,96910.0,1.1514511
4580436,374.23434,21.1,96910.0,1.1514511
4601508,374.06262,21.109999,96912.0,1.1514748
4611705,374.23434,21.109999,96910.0,1.1514511
4622436,374.23434,21.109999,96910.0,1.1514511
4644435,374.66507,21.109999,96905.0,1.1513917
4656394,374.14716,21.109999,96911.0,1.151463
4666482,373.80365,21.109999,96915.0,1.1515105
4687480,374.06262,21.109999,96912.0,1.1514748
4697522,374.40875,21.109999,96907.99,1.1514273
4708534,374.40875,21.109999,96907.99,1.1514273
4730450,373.9754,21.119999,96913.0,1.1514868
4740444,374.32156,21.119999,96909.0,1.1514392
4751435,374.14716,21.119999,96911.0,1.151463
4772737,374.32156,21.13,96909.0,1.1514392
4783436,373.9754,21.13,96913.0,1.1514868
4794435,374.23434,21.13,96910.0,1.1514511
4816884,374.06262,21.13,96912.0,1.1514748
4827436,373.89087,21.13,96913.99,1.1514986
4838435,374.06262,21.13,96912.0,1.1514748
4860475,374.49332,21.13,96907.0,1.1514155
4871436,374.5805,21.13,96906.0,1.1514035
4882439,374.5805,21.13,96906.0,1.1514035
4904436,373.89087,21.14,96913.99,1.1514986
4914469,374.49332,21.14,96907.0,1.1514155
4925508,373.9754,21.14,96913.0,1.1514868
4947436,374.14716,21.14,96911.0,1.151463
4957507,373.89087,21.14,96913.99,1.1514986
4968445,373.80365,21.14,96915.0,1.1515105
4989567,373.62927,21.14,96917.0,1.1515343
5000447,373.9754,21.14,96913.0,1.1514868
5011436,374.49332,21.14,96907.0,1.1514155
5033753,374.06262,21.15,96912.0,1.1514748
5044435,374.49332,21.15,96907.0,1.1514155
5055436,374.06262,21.15,96912.0,1.1514748
5078098,374.06262,21.15,96912.0,1.1514748
5088435,373.9754,21.15,96913.0,1.1514868
5098468,374.49332,21.15,96907.0,1.1514155
5120469,373.89087,21.16,96913.99,1.1514986
5130692,374.14716,21.16,96911.0,1.151463
5142136,374.14716,21.16,96911.0,1.151463
5162550,374.23434,21.16,96910.0,1.1514511
5174090,374.49332,21.16,96907.0,1.1514155
5184435,374.32156,21.16,96909.0,1.1514392
5206299,374.32156,21.16,96909.0,1.1514392
5216447,373.80365,21.16,96915.0,1.1515105
5227557,374.14716,21.16,96911.0,1.151463
5249563,373.9754,21.17,96913.0,1.1514868
5259902,374.49332,21.17,96907.0,1.1514155
5270853,374.14716,21.17,96911.0,1.151463
