timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9227611,-0.0028016,0.00924767,-0.202413,0.802095,0.0100866,-0.128897,-0.583033,0.931081,0.00216238,0.0119804,-0.364609,1
9231563,-0.000346085,0.00934432,-0.202224,0.801952,0.0100481,-0.128888,-0.583232,0.931081,0.00216238,0.0119804,-0.364609,1
9263655,-0.0254375,-0.00244134,-0.202081,0.800793,0.00962633,-0.128887,-0.58483,0.931081,0.00216238,0.0119804,-0.364609,1
9295503,-0.0464576,-0.031082,-0.195843,0.799649,0.00843133,-0.128544,-0.586487,0.931081,0.00216238,0.0119804,-0.364609,1
9327576,0.121763,-0.06884,-0.212579,0.79831,0.00822345,-0.129789,-0.588038,0.931081,0.00216238,0.0119804,-0.364609,1
9355526,0.160241,-0.052804,-0.205808,0.797102,0.00920981,-0.131772,-0.58922,0.931081,0.00216238,0.0119804,-0.364609,1
9388287,0.106145,-0.0337799,-0.210183,0.795719,0.0103086,-0.133502,-0.590679,0.931081,0.00216238,0.0119804,-0.364609,1
9420248,0.081081,-0.0256684,-0.198406,0.794455,0.0108816,-0.134709,-0.592095,0.931081,0.00216238,0.0119804,-0.364609,1
9452251,0.0264067,-0.0352763,-0.185124,0.79332,0.0112155,-0.135518,-0.593424,0.931081,0.00216238,0.0119804,-0.364609,1
9484283,-0.0420373,-0.0925926,-0.194118,0.792069,0.0101616,-0.136186,-0.594959,0.931081,0.00216238,0.0119804,-0.364609,1
9516484,-0.062408,-0.0740674,-0.174342,0.790807,0.00830955,-0.136675,-0.596553,0.931081,0.00216238,0.0119804,-0.364609,1
9548354,-0.0381698,-0.0865658,-0.151559,0.78983,0.00673941,-0.137201,-0.597745,0.931081,0.00216238,0.0119804,-0.364609,1
9581177,0.0224548,-0.0821248,-0.143176,0.788851,0.00577204,-0.138252,-0.598805,0.931081,0.00216238,0.0119804,-0.364609,1
9613157,-0.00154602,-0.051232,-0.134296,0.788073,0.00514875,-0.139052,-0.599649,0.931081,0.00216238,0.0119804,-0.364609,1
9645224,-0.0385688,-0.0738917,-0.122277,0.787429,0.00404128,-0.13948,-0.600403,0.931081,0.00216238,0.0119804,-0.364609,1
9677264,-0.0478958,-0.10361,-0.14274,0.786669,0.00235275,-0.140038,-0.601278,0.931081,0.00216238,0.0119804,-0.364609,1
9709185,-0.0259875,-0.0580709,-0.156961,0.785664,0.000957226,-0.140577,-0.60247,0.931081,0.00216238,0.0119804,-0.364609,1
9737141,-0.0813273,-0.0107985,-0.145149,0.784946,4.00145e-05,-0.140206,-0.603491,0.931081,0.00216238,0.0119804,-0.364609,1
9769875,-0.0154302,-0.0688602,-0.130395,0.784187,-0.00138883,-0.139801,-0.60457,0.931081,0.00216238,0.0119804,-0.364609,1
