timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
13873340,1543372936400113,453900238,-719276331,186322,154807,0.30900002,0.13057017,3.0790002,4.5400004,1.4,1.81,107,8,2.6660001,-2.661,0.16700001,0.263,3.0577574,0,3,1,9
14078512,1543372936600113,453900181,-719276323,186266,154751,0.32200003,0.099545024,3.0260003,4.487,1.4599999,2.47,107,8,3.269,-3.2350001,0.469,0.117000006,3.0195918,0,3,1,8
14269692,1543372936800113,453900114,-719276316,186312,154797,0.31100002,0.095199674,2.9750001,4.438,1.4599999,2.47,107,12,3.3430002,-3.3300002,0.28500003,0.28300002,3.038817,0,3,1,8
14479624,1543372937000113,453900044,-719276316,186537,155022,0.30800003,0.08302671,2.927,4.388,1.4599999,2.47,107,12,3.4680002,-3.459,0.246,0.23300001,3.0570076,0,3,1,8
14675489,1543372937200113,453899975,-719276313,186633,155118,0.31,0.08069093,2.8790002,4.341,1.4599999,2.47,107,12,3.538,-3.522,0.32900003,0.30200002,3.0525975,0,3,1,8
14874497,1543372937400113,453899904,-719276306,186602,155088,0.344,0.08197514,2.841,4.3040004,1.4599999,2.47,107,12,4.0020003,-3.9970002,0.19600001,-0.068,3.0726593,0,3,1,8
15073565,1543372937600113,453899831,-719276298,186604,155089,0.31100002,0.07287412,2.802,4.2710004,1.4,1.81,107,12,3.936,-3.9210002,0.342,0.075,3.0624638,0,3,1,9
15270638,1543372937800113,453899756,-719276288,186515,155001,0.312,0.07461282,2.7670002,4.2460003,1.4599999,2.47,107,11,4.229,-4.2200003,0.275,0.027,3.0695326,0,3,1,8
15474627,1543372938000113,453899669,-719276287,186660,155145,0.30900002,0.0680345,2.7350001,4.209,1.4599999,2.47,107,11,4.6860003,-4.681,0.21000001,0.102000006,3.0847275,0,3,1,8
15673584,1543372938200113,453899582,-719276276,186683,155168,0.317,0.061800536,2.7020001,4.1800003,1.4599999,2.47,107,11,4.714,-4.6790004,0.569,0.022000002,3.0487611,0,3,1,8
15876485,1543372938400113,453899493,-719276265,186744,155229,0.31300002,0.062320117,2.674,4.1520004,1.4599999,2.47,107,11,4.98,-4.964,0.4,0.010000001,3.0550966,0,3,1,8
16074527,1543372938600113,453899400,-719276255,186773,155258,0.31300002,0.060556114,2.6480002,4.125,1.4599999,2.47,107,11,5.1590004,-5.142,0.42900002,0.125,3.0568707,0,3,1,8
16271690,1543372938800113,453899303,-719276247,186876,155361,0.31,0.053984076,2.6220002,4.097,1.4599999,2.47,107,4,5.3960004,-5.3760004,0.47100002,0.15300001,3.0553071,0,3,1,8
16466866,1543372939000113,453899205,-719276238,186944,155429,0.312,0.053628553,2.598,4.071,1.4599999,2.47,107,4,5.499,-5.4810004,0.44700003,0.023000002,3.0579088,0,3,1,8
16673508,1543372939200113,453899101,-719276230,187015,155500,0.30600002,0.04957433,2.5730002,4.045,1.4,1.81,107,4,5.952,-5.9430003,0.31,0.163,3.0757635,0,3,1,9
16873658,1543372939400113,453898991,-719276220,187071,155557,0.31,0.044699624,2.5440001,4.0230002,1.4,1.81,107,4,6.2230005,-6.2000003,0.53800005,0.09900001,3.0636258,0,3,1,9
17069593,1543372939600113,453898880,-719276208,186990,155475,0.30400002,0.045829203,2.516,4.005,1.4599999,2.47,107,4,6.201,-6.19,0.36400002,0.45600003,3.0737529,0,3,1,8
17268484,1543372939800113,453898763,-719276196,186967,155452,0.33,0.043840572,2.492,3.989,1.4599999,2.47,107,4,6.7770004,-6.7580004,0.50600004,0.14500001,3.0699117,0,3,1,8
17474495,1543372940000113,453898640,-719276185,186939,155424,0.305,0.04300334,2.466,3.969,1.4,1.81,107,4,6.8580003,-6.854,0.25300002,0.23300001,3.089185,0,3,1,9
17672483,1543372940200113,453898512,-719276175,186917,155402,0.30800003,0.040686067,2.4420002,3.9520001,1.4,1.81,107,4,7.2860003,-7.2700005,0.47900003,0.29900002,3.0814784,0,3,1,9
17865532,1543372940400113,453898377,-719276161,186911,155396,0.34600002,0.0404302,2.4190001,3.936,1.4,1.81,107,4,7.6590004,-7.6370006,0.58400005,0.22500001,3.0723877,0,3,1,9
18070566,1543372940600113,453898238,-719276145,186860,155345,0.34600002,0.040454287,2.397,3.9190001,1.4,1.81,107,4,7.7330003,-7.715,0.528,0.093,3.0729067,0,3,1,9
18272488,1543372940800113,453898097,-719276127,186753,155238,0.31100002,0.039095026,2.3760002,3.903,1.4,1.81,107,4,7.9010005,-7.8820004,0.559,0.259,3.0716703,0,3,1,9
18473734,1543372941000113,453897953,-719276106,186638,155123,0.314,0.036332343,2.3490002,3.8860002,1.4,1.81,107,4,7.9960003,-7.9690003,0.657,0.026,3.064288,0,3,1,9
18673508,1543372941200113,453897808,-719276090,186662,155147,0.314,0.04004972,2.332,3.8700001,1.4,1.81,107,4,8.082001,-8.062,0.573,-0.029000001,3.0706413,0,3,1,9
18874477,1543372941400113,453897658,-719276078,186748,155233,0.314,0.038944926,2.3160002,3.8520002,1.4,1.81,107,4,8.294001,-8.278001,0.51100004,-0.007,3.0799847,0,3,1,9
19075485,1543372941600113,453897506,-719276057,186701,155186,0.317,0.03476591,2.2910001,3.8330002,1.4,1.81,107,4,8.406,-8.376,0.71000004,-0.16900001,3.0570204,0,3,1,9
19267520,1543372941800113,453897353,-719276037,186673,155159,0.31500003,0.035911545,2.273,3.8130002,1.4,1.81,107,5,8.494,-8.463,0.72400004,0.156,3.056256,0,3,1,9
19485520,1543372942000114,453897197,-719276018,186676,155161,0.316,0.037089117,2.2570002,3.8040001,1.4599999,2.47,107,5,8.668,-8.642,0.67200005,-0.051000003,3.0640287,0,3,1,8
19674484,1543372942200114,453897039,-719275997,186635,155120,0.316,0.03411752,2.2380002,3.7700002,1.4,1.81,107,5,8.702001,-8.678,0.64500004,-0.116000004,3.0673876,0,3,1,9
19878699,1543372942400114,453896878,-719275979,186686,155171,0.316,0.031940572,2.2150002,3.7210002,1.4,1.81,107,5,8.861,-8.836,0.66400003,-0.18400002,3.0666425,0,3,1,9
20078602,1543372942600114,453896709,-719275964,186854,155339,0.31500003,0.02959956,2.19,3.6660001,1.4,1.81,107,5,9.203,-9.17,0.78300005,0.071,3.0564184,0,3,1,9
20275692,1543372942800114,453896544,-719275940,186714,155200,0.31500003,0.031517155,2.17,3.6230001,1.4,1.81,107,5,9.087001,-9.066,0.62,-0.163,3.073297,0,3,1,9
20479579,1543372943000114,453896375,-719275920,186757,155242,0.31500003,0.026230203,2.135,3.5210001,1.4,1.81,107,5,9.319,-9.2890005,0.739,-0.10300001,3.062178,0,3,1,9
20673619,1543372943200114,453896202,-719275901,186828,155314,0.31500003,0.028605595,2.112,3.4670002,1.4,1.81,107,5,9.501,-9.471001,0.75000006,-0.09200001,3.06252,0,3,1,9
20883523,1543372943400114,453896021,-719275891,187123,155608,0.31300002,0.027454201,2.084,3.4090002,1.4,1.81,107,5,9.51,-9.491,0.595,-0.273,3.0789373,0,3,1,9
21079556,1543372943600114,453895845,-719275876,187220,155705,0.31500003,0.030496135,2.0670002,3.3820002,1.4,1.81,107,5,9.589001,-9.567,0.64500004,-0.19700001,3.0743206,0,3,1,9
21280486,1543372943800114,453895668,-719275861,187289,155774,0.314,0.02968578,2.051,3.357,1.4,1.81,107,4,9.6970005,-9.676001,0.642,-0.080000006,3.0752902,0,3,1,9
21476528,1543372944000114,453895490,-719275845,187330,155815,0.314,0.028846102,2.032,3.318,1.4,1.81,107,4,9.76,-9.743,0.57500005,-0.24100001,3.0826755,0,3,1,9
21673531,1543372944200114,453895313,-719275825,187283,155768,0.31500003,0.029437942,2.0170002,3.2860003,1.4,1.81,107,4,9.812,-9.7890005,0.65900004,-0.11000001,3.0743365,0,3,1,9
21870556,1543372944400114,453895134,-719275808,187276,155761,0.314,0.030826177,2.006,3.262,1.4,1.81,107,4,9.993,-9.977,0.578,-0.133,3.0837436,0,3,1,9
22071556,1543372944600114,453894953,-719275790,187255,155740,0.31300002,0.030359128,1.9940001,3.2380002,1.4,1.81,107,4,10.034,-10.018001,0.568,-0.021000002,3.0849617,0,3,1,9
22271497,1543372944800114,453894771,-719275770,187182,155667,0.314,0.029023252,1.9810001,3.2150002,1.4,1.81,107,12,10.183001,-10.162001,0.656,-0.055000003,3.077143,0,3,1,9
22472483,1543372945000114,453894587,-719275751,187121,155606,0.31300002,0.029137222,1.968,3.193,1.4,1.81,107,12,10.201,-10.189,0.508,-0.171,3.0918212,0,3,1,9
22673564,1543372945200114,453894402,-719275734,187072,155557,0.314,0.028817479,1.9560001,3.1710002,1.4,1.81,107,12,10.31,-10.293,0.592,-0.136,3.084125,0,3,1,9
22874483,1543372945400114,453894213,-719275718,187185,155670,0.314,0.029916687,1.9460001,3.163,1.4,1.81,107,12,10.363001,-10.343,0.64000005,-0.004,3.079789,0,3,1,9
23075501,1543372945600114,453894025,-719275696,187109,155594,0.314,0.026589042,1.9290001,3.1550002,1.4,1.81,107,12,10.416,-10.394,0.683,-0.040000003,3.0759625,0,3,1,9
23268489,1543372945800114,453893836,-719275680,187138,155623,0.314,0.030070625,1.9200001,3.1490002,1.4,1.81,106,9,10.444,-10.43,0.536,-0.10300001,3.0902624,0,3,1,9
23474689,1543372946000114,453893644,-719275666,187219,155704,0.314,0.028733702,1.909,3.131,1.4,1.81,106,9,10.675,-10.662001,0.536,-0.21100001,3.0913465,0,3,1,9
23678478,1543372946200114,453893450,-719275653,187336,155821,0.31300002,0.028070653,1.8980001,3.1130002,1.4,1.81,106,9,10.678,-10.666,0.499,-0.089,3.094855,0,3,1,9
