timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
9247539,0,0.0,0.0,0.0,0.0,-0.343449,1.2903e-06,2.53374e-06,0.0,0.601702,0.403726,-0.412419,-0.451353,0.000322534,0.000633357,0.0,0.437136,-0.225037,1.70845,-1.27637,0.0,0.257465,0.412419,0.17844,0.349235,0.290364,0.280978,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9251484,0,0.0,0.0,0.0,0.0,-0.343279,1.2903e-06,2.53374e-06,0.0,0.598522,0.394703,-0.40509,-0.441477,0.000322534,0.000633357,0.0,0.459908,-0.272044,1.70434,-1.27687,0.0,0.254122,0.40509,0.18043,0.351109,0.292621,0.281815,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9355526,0,0.0,0.0,0.0,0.0,-0.357085,1.2903e-06,2.53374e-06,0.0,0.628952,0.249255,-0.435932,-0.437359,0.000322534,0.000633357,0.0,0.618226,-0.0753507,-0.0730595,-1.29069,0.0,0.262581,0.435932,0.177763,0.348807,0.284148,0.277021,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9456369,0,0.0,0.0,0.0,0.0,-0.374592,1.2903e-06,2.53374e-06,0.0,0.658908,0.195512,-0.416427,-0.390096,0.000322534,0.000633357,0.0,1.01529,0.235791,1.09907,-1.3037,0.0,0.242165,0.416427,0.178063,0.349513,0.276538,0.27387,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9557255,0,0.0,0.0,0.0,0.0,-0.390689,1.2903e-06,2.53374e-06,0.0,0.756126,0.178729,-0.478401,-0.429395,0.000322534,0.000633357,0.0,2.03699,1.02089,-1.55766,-1.31567,0.0,0.246591,0.478401,0.179656,0.351748,0.274383,0.27128,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9657167,0,0.0,0.0,0.0,0.0,-0.411799,1.2903e-06,2.53374e-06,0.0,0.911177,0.225748,-0.451257,-0.381482,0.000322534,0.000633357,0.0,2.60706,0.964695,1.00542,-1.32317,0.0,0.249737,0.451257,0.178804,0.351656,0.267379,0.267895,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9761895,0,0.0,0.0,0.0,0.0,-0.431062,1.2903e-06,2.53374e-06,0.0,1.12365,0.264991,-0.407746,-0.325358,0.000322534,0.000633357,0.0,2.84144,0.77281,-1.01203,-1.33224,0.0,0.216002,0.407746,0.174389,0.348,0.25927,0.262676,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9861941,0,0.0,0.0,0.0,0.0,-0.447317,1.2903e-06,2.53374e-06,0.0,1.31901,0.287935,-0.377784,-0.281693,0.000322534,0.000633357,0.0,2.3276,0.308697,1.4714,-1.33747,0.0,0.255546,0.377784,0.170573,0.344402,0.248816,0.25772,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9962713,0,0.0,0.0,0.0,0.0,-0.443762,1.2903e-06,2.53374e-06,0.0,1.51057,0.253348,-0.306456,-0.18658,0.000322534,0.000633357,0.0,2.92312,-0.161153,-0.382356,-1.34128,0.0,0.260436,0.306456,0.170606,0.344529,0.245616,0.255141,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10062781,0,0.0,0.0,0.0,0.0,-0.427873,1.2903e-06,2.53374e-06,0.0,1.72739,0.205482,-0.323691,-0.171129,0.000322534,0.000633357,0.0,2.70516,-0.197781,1.26257,-1.33911,0.0,0.264157,0.323691,0.172162,0.346148,0.242068,0.253037,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
