timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
3230276,0.34770435,0.32108653,0.32273594
3241465,0.3441718,0.3248737,0.31613195
3250274,0.34780425,0.3063495,0.33908558
3270275,0.34780425,0.3063495,0.33908558
3279068,0.35128176,0.3310759,0.33667737
3289444,0.33894175,0.31602323,0.3174998
3299068,0.35472992,0.3208121,0.329461
3309444,0.34414414,0.296909,0.3116086
3319068,0.3441881,0.30717278,0.31880364
3329443,0.33379352,0.3031112,0.3322607
3339107,0.34596822,0.31926155,0.3243673
3349444,0.34247434,0.31223607,0.32410377
3359074,0.34247434,0.31223607,0.32410377
3367868,0.33898395,0.31926155,0.32441
3378275,0.33550987,0.30858615,0.32738787
3387897,0.34774482,0.3172994,0.32936126
3398274,0.34598538,0.3050734,0.32718146
3407869,0.33013606,0.3042089,0.30521104
3418274,0.34778878,0.32756317,0.3365563
3427885,0.32321817,0.32136095,0.3161175
3438274,0.34241232,0.3126477,0.31395215
3448706,0.34241232,0.3126477,0.31395215
3458280,0.35113272,0.31447268,0.31227812
3467067,0.33553404,0.32249987,0.33134148
3478281,0.3459656,0.30872336,0.32394004
3487068,0.3406762,0.31082273,0.31558353
3498281,0.33546853,0.30886057,0.32062012
3507111,0.3476578,0.30028453,0.31511357
3518281,0.32856873,0.31533718,0.33448315
3527119,0.3459234,0.30548504,0.31702983
3538274,0.3389615,0.31237328,0.32074124
3547078,0.3389615,0.31237328,0.32074124
3555890,0.3407571,0.3032484,0.32883418
3566281,0.340758,0.30676115,0.3289766
3575897,0.33018088,0.31798545,0.31254852
3586281,0.3390253,0.31898713,0.3311777
3595906,0.34776464,0.31364942,0.33260268
3607067,0.3493922,0.295084,0.3131973
3615894,0.33904245,0.304799,0.33399186
3627067,0.33373326,0.3105483,0.32239395
3635868,0.33373326,0.3105483,0.32239395
3644674,0.35296962,0.3050734,0.32713878
3655067,0.345988,0.3156116,0.32760876
3664690,0.33544615,0.30197227,0.3169514
3675112,0.3407149,0.30001011,0.321924
3684668,0.33722624,0.31406105,0.32251504
3695081,0.34245107,0.30183506,0.3202926
3704667,0.34414762,0.31095994,0.31217834
3715082,0.34596735,0.3157488,0.3242249
3724668,0.34596735,0.3157488,0.3242249
3735075,0.34596735,0.3157488,0.3242249
3743894,0.34594667,0.31588602,0.32084098
3755075,0.34069598,0.30717278,0.31882498
3763867,0.34772065,0.30338562,0.32540762
3773444,0.34422594,0.29284742,0.32500166
3783867,0.33900374,0.3156116,0.3276514
3793444,0.33893913,0.30548504,0.3170725
3803875,0.33367124,0.31095994,0.31224233
3813444,0.340758,0.30676115,0.3289766
3823868,0.340758,0.30676115,0.3289766
3832689,0.34069943,0.32122374,0.3193947
3843867,0.3388969,0.3022467,0.3101623
3852671,0.34416744,0.30731,0.31541976
3863874,0.34065375,0.30393445,0.3119148
3872700,0.3441881,0.30717278,0.31880364
3883867,0.35115078,0.30379725,0.3152347
3892708,0.3459027,0.30562225,0.31364596
3903868,0.34421223,0.32108653,0.32275727
3912717,0.34947488,0.29453516,0.3267328
3922268,0.34947488,0.29453516,0.3267328
3931867,0.33366948,0.30393445,0.31195748
3941444,0.3477198,0.2998729,0.3252652
3952687,0.3511301,0.30393445,0.31185082
3961444,0.3459286,0.32656145,0.31788445
3972693,0.34765956,0.30731,0.31539845
3981444,0.33551073,0.31209886,0.32753032
3992668,0.34592775,0.3230487,0.317742
4001444,0.3494318,0.28778413,0.3196802
4021469,0.3494318,0.28778413,0.3196802
4030244,0.34245107,0.30183506,0.3202926
4040691,0.34590185,0.30210948,0.3135035
4050244,0.32499132,0.30534783,0.32054168
4060698,0.35460505,0.31812268,0.30901533
4070244,0.34241146,0.309135,0.31380972
4080667,0.33895805,0.29832232,0.3201715
4090244,0.3443345,0.31323776,0.3427756
4100687,0.3406331,0.3040717,0.30853093
4110245,0.3406331,0.3040717,0.30853093
4119075,0.3336506,0.31109717,0.30885845
4129468,0.340634,0.30758443,0.30867335
4139075,0.34414586,0.30393445,0.31189346
4149467,0.35289043,0.31967318,0.314173
4159075,0.34242865,0.2949468,0.31662387
4169469,0.35113358,0.31798545,0.31242055
4179112,0.34774223,0.30676115,0.32893395
4189468,0.32838008,0.3060339,0.30360097
4199875,0.32838008,0.3060339,0.30360097
4209468,0.32838008,0.3060339,0.30360097
4218244,0.34067443,0.30379725,0.31529868
4229508,0.3477035,0.31757382,0.3225935
4238244,0.35466444,0.30717278,0.31873965
4249518,0.3494577,0.30872336,0.3239187
4258244,0.34242865,0.2949468,0.31662387
4269501,0.33722797,0.32108653,0.32279992
4278244,0.34590706,0.32318592,0.31435812
4289501,0.335447,0.30548504,0.31709382
4298244,0.335447,0.30548504,0.31709382
4307074,0.33542547,0.30210948,0.3135675
4318243,0.34253722,0.31533718,0.33439782
4327075,0.34073642,0.30338562,0.32545027
4338243,0.3424339,0.31602323,0.31747848
4347112,0.3477431,0.3102739,0.32907638
4358243,0.3354694,0.31237328,0.32076254
4367081,0.34245366,0.31237328,0.3207199
4378243,0.32679036,0.3102739,0.32920438
4387075,0.32679036,0.3102739,0.32920438
4395874,0.34245455,0.31588602,0.32086232
4406243,0.33555034,0.304799,0.3340132
4415868,0.34586486,0.31994763,0.3074479
4426243,0.33891758,0.30210948,0.31354618
4435879,0.35123345,0.3032484,0.3287702
4446243,0.3423899,0.30575946,0.31028342
4455868,0.34943965,0.31939876,0.3209621
4466243,0.33906227,0.301149,0.3372333
4475845,0.33906227,0.301149,0.3372333
4486244,0.34071666,0.30703557,0.32220885
4495075,0.34241495,0.32318592,0.31437945
4504702,0.35117143,0.30366004,0.31861854
4515103,0.3441881,0.30717278,0.31880364
4524702,0.34247434,0.31223607,0.32410377
4535087,0.34600693,0.30844894,0.33070776
4544713,0.35121453,0.3104111,0.32567117
4555088,0.34074077,0.32094932,0.32616246
4564675,0.34074077,0.32094932,0.32616246
4574243,0.34069857,0.31771103,0.31925225
4583844,0.34945685,0.30521062,0.32377625
4595081,0.3494577,0.30872336,0.3239187
4603874,0.34414762,0.31095994,0.31217834
4615081,0.36344513,0.30156064,0.32693237
4623868,0.35290328,0.28792134,0.316275
4635075,0.3285265,0.31209886,0.32757297
4643868,0.354748,0.31013668,0.33241758
4653474,0.354748,0.31013668,0.33241758
4663082,0.35131788,0.30972502,0.34259054
