timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
3223351,12.402405,12.43509,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
3730698,12.402405,12.429074,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
4235477,12.45131,12.433357,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
4739484,12.382843,12.429228,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
5232289,12.441529,12.420289,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
5736296,12.45131,12.4273,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
6241075,12.441529,12.433191,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
6733912,12.461092,12.431312,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
7240281,12.480654,12.446011,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
7745880,12.4219675,12.451962,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
8249974,12.470873,12.442342,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
8753931,12.441529,12.444731,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
9246737,12.373062,12.433329,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
9751541,12.441529,12.431086,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
10256338,12.441529,12.433562,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
10749979,12.363281,12.424237,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
11254792,12.441529,12.42069,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
11759447,12.4219675,12.428552,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
12264289,12.441529,12.432626,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
12757074,12.490435,12.433774,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
13261854,12.45131,12.4488535,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
13766731,12.470873,12.456317,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
14259441,12.461092,12.448256,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
14764313,12.45131,12.447493,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
15269926,12.392624,12.444291,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
15774608,12.392624,12.430124,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
16267549,12.441529,12.43072,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
16772289,12.412187,12.433402,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
17277061,12.402405,12.424666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
17769976,12.490435,12.428921,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
