timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
3227080,32767,32767,32767,32767,32767,32767,32767,32767
3231074,32767,32767,32767,32767,32767,-64,32767,32767
3235080,32767,32767,32767,32767,-75,32767,32767,32767
3239111,32767,32767,32767,32767,32767,-41,32767,32767
3243075,32767,32767,32767,32767,-46,32767,32767,32767
3247073,32767,32767,32767,32767,32767,32767,32767,32767
3251073,32767,32767,32767,32767,32767,-64,32767,32767
3255080,32767,32767,32767,32767,-55,32767,32767,32767
3259084,32767,32767,32767,32767,32767,-40,32767,32767
3263073,32767,32767,32767,32767,32767,32767,32767,32767
3267073,32767,32767,32767,32767,32767,32767,32767,32767
3271082,32767,32767,32767,32767,32767,-72,32767,32767
3275080,32767,32767,32767,32767,32767,32767,32767,32767
3279092,32767,32767,32767,32767,-76,-40,32767,32767
3283073,32767,32767,32767,32767,32767,32767,32767,32767
3287074,32767,32767,32767,32767,-46,32767,32767,32767
3291103,32767,32767,32767,32767,32767,-73,32767,32767
3295080,32767,32767,32767,32767,32767,32767,32767,32767
3299073,32767,32767,32767,32767,-55,-40,32767,32767
3303073,32767,32767,32767,32767,32767,32767,32767,32767
3307850,32767,32767,32767,32767,32767,32767,32767,32767
3311850,32767,32767,32767,32767,32767,-80,32767,32767
3315850,32767,32767,32767,32767,32767,32767,32767,32767
3319850,32767,32767,32767,32767,-44,-48,32767,32767
3323856,32767,32767,32767,32767,32767,32767,32767,32767
3327850,32767,32767,32767,32767,32767,-40,32767,32767
3331850,32767,32767,32767,32767,-54,32767,32767,32767
3335850,32767,32767,32767,32767,32767,32767,32767,32767
3339887,32767,32767,32767,32767,32767,-64,32767,32767
3344717,32767,32767,32767,32767,-72,32767,32767,32767
3349474,32767,32767,32767,32767,32767,-64,32767,32767
3353474,32767,32767,32767,32767,32767,32767,32767,32767
3357474,32767,32767,32767,32767,32767,-48,32767,32767
3361474,32767,32767,32767,32767,32767,32767,32767,32767
3365474,32767,32767,32767,32767,-60,32767,32767,32767
3369474,32767,32767,32767,32767,32767,-64,32767,32767
3373511,32767,32767,32767,32767,32767,32767,32767,32767
3377474,32767,32767,32767,32767,-73,-48,32767,32767
3381474,32767,32767,32767,32767,32767,32767,32767,32767
3385483,32767,32767,32767,32767,-50,32767,32767,32767
3389474,32767,32767,32767,32767,32767,-64,32767,32767
3393484,32767,32767,32767,32767,32767,32767,32767,32767
