timestamp,safety_switch_available,safety_off,override_available,override_enabled
3224776,1,1,0,0
3246796,1,1,0,0
3268796,1,1,0,0
3290811,1,1,0,0
3312766,1,1,0,0
3334766,1,1,0,0
3356790,1,1,0,0
3378343,1,1,0,0
3402325,1,1,0,0
3422320,1,1,0,0
3442321,1,1,0,0
3462331,1,1,0,0
3486335,1,1,0,0
3506336,1,1,0,0
3526338,1,1,0,0
3546343,1,1,0,0
3570345,1,1,0,0
3590366,1,1,0,0
3611073,1,1,0,0
3631073,1,1,0,0
3651077,1,1,0,0
3675101,1,1,0,0
3695079,1,1,0,0
3715086,1,1,0,0
3735108,1,1,0,0
3759117,1,1,0,0
3779087,1,1,0,0
3803077,1,1,0,0
3823085,1,1,0,0
3843128,1,1,0,0
3867129,1,1,0,0
3891130,1,1,0,0
3911156,1,1,0,0
3935240,1,1,0,0
3959098,1,1,0,0
3983148,1,1,0,0
4007099,1,1,0,0
4027122,1,1,0,0
4047130,1,1,0,0
4067124,1,1,0,0
4091128,1,1,0,0
4111132,1,1,0,0
4135133,1,1,0,0
4159173,1,1,0,0
4179189,1,1,0,0
4203135,1,1,0,0
4227930,1,1,0,0
4247945,1,1,0,0
4271961,1,1,0,0
4291949,1,1,0,0
4315923,1,1,0,0
4335922,1,1,0,0
4359960,1,1,0,0
4379966,1,1,0,0
4399948,1,1,0,0
4419949,1,1,0,0
4443923,1,1,0,0
4467962,1,1,0,0
4487965,1,1,0,0
4507950,1,1,0,0
4527947,1,1,0,0
4547949,1,1,0,0
4571923,1,1,0,0
4595942,1,1,0,0
4615963,1,1,0,0
4635926,1,1,0,0
4655947,1,1,0,0
4675950,1,1,0,0
4699923,1,1,0,0
4719922,1,1,0,0
4739923,1,1,0,0
4763949,1,1,0,0
4783947,1,1,0,0
4804782,1,1,0,0
4824764,1,1,0,0
4844762,1,1,0,0
4864768,1,1,0,0
4888733,1,1,0,0
4912818,1,1,0,0
4932765,1,1,0,0
4956723,1,1,0,0
4976722,1,1,0,0
5000720,1,1,0,0
5020737,1,1,0,0
5044723,1,1,0,0
5068723,1,1,0,0
5088737,1,1,0,0
5108736,1,1,0,0
5132730,1,1,0,0
5152724,1,1,0,0
5172723,1,1,0,0
5192721,1,1,0,0
5212741,1,1,0,0
5236802,1,1,0,0
5256778,1,1,0,0
5280703,1,1,0,0
5300705,1,1,0,0
5324699,1,1,0,0
5344725,1,1,0,0
5368697,1,1,0,0
5392707,1,1,0,0
5412699,1,1,0,0
5432700,1,1,0,0
5452699,1,1,0,0
5476774,1,1,0,0
5500699,1,1,0,0
5524736,1,1,0,0
5548699,1,1,0,0
5572699,1,1,0,0
5592726,1,1,0,0
5612734,1,1,0,0
5636705,1,1,0,0
5656707,1,1,0,0
5676706,1,1,0,0
5696739,1,1,0,0
5720705,1,1,0,0
5740722,1,1,0,0
5760746,1,1,0,0
5780711,1,1,0,0
5804735,1,1,0,0
5824736,1,1,0,0
5844717,1,1,0,0
5868728,1,1,0,0
5889531,1,1,0,0
5909527,1,1,0,0
5933546,1,1,0,0
5957564,1,1,0,0
5977570,1,1,0,0
6001611,1,1,0,0
6025523,1,1,0,0
6045526,1,1,0,0
6069573,1,1,0,0
6089562,1,1,0,0
6113522,1,1,0,0
6133524,1,1,0,0
6157533,1,1,0,0
6177545,1,1,0,0
6201522,1,1,0,0
6221524,1,1,0,0
6241535,1,1,0,0
6265548,1,1,0,0
6289529,1,1,0,0
6310348,1,1,0,0
6330359,1,1,0,0
6350353,1,1,0,0
6374351,1,1,0,0
6398407,1,1,0,0
6422323,1,1,0,0
6446351,1,1,0,0
6470329,1,1,0,0
6494341,1,1,0,0
6514344,1,1,0,0
6538353,1,1,0,0
6558349,1,1,0,0
6582377,1,1,0,0
6602346,1,1,0,0
6622323,1,1,0,0
6646364,1,1,0,0
6670369,1,1,0,0
6694356,1,1,0,0
6714329,1,1,0,0
6739097,1,1,0,0
6763115,1,1,0,0
6783133,1,1,0,0
6803132,1,1,0,0
6827106,1,1,0,0
6847099,1,1,0,0
6867133,1,1,0,0
6891170,1,1,0,0
6915165,1,1,0,0
6935153,1,1,0,0
6959104,1,1,0,0
6979102,1,1,0,0
7003124,1,1,0,0
7027135,1,1,0,0
7051150,1,1,0,0
7075126,1,1,0,0
7099179,1,1,0,0
7119185,1,1,0,0
7139156,1,1,0,0
7159970,1,1,0,0
7179975,1,1,0,0
7199992,1,1,0,0
7219952,1,1,0,0
7240775,1,1,0,0
7260776,1,1,0,0
7280764,1,1,0,0
7300776,1,1,0,0
7324739,1,1,0,0
7348770,1,1,0,0
7372727,1,1,0,0
7396773,1,1,0,0
7420721,1,1,0,0
7441539,1,1,0,0
7461510,1,1,0,0
7485501,1,1,0,0
7506336,1,1,0,0
7530333,1,1,0,0
7554299,1,1,0,0
7574352,1,1,0,0
7598303,1,1,0,0
7618318,1,1,0,0
7638323,1,1,0,0
7662300,1,1,0,0
7686316,1,1,0,0
7706329,1,1,0,0
7726327,1,1,0,0
7750321,1,1,0,0
7774327,1,1,0,0
7798395,1,1,0,0
7822370,1,1,0,0
8154340,1,1,0,0
8174321,1,1,0,0
8194323,1,1,0,0
8218348,1,1,0,0
8238334,1,1,0,0
8258322,1,1,0,0
8278338,1,1,0,0
8302387,1,1,0,0
8326361,1,1,0,0
8346364,1,1,0,0
8370399,1,1,0,0
8394331,1,1,0,0
8418348,1,1,0,0
8442367,1,1,0,0
8466329,1,1,0,0
8486344,1,1,0,0
8510373,1,1,0,0
8530398,1,1,0,0
8554353,1,1,0,0
8574333,1,1,0,0
8598360,1,1,0,0
8622329,1,1,0,0
8646373,1,1,0,0
8670371,1,1,0,0
8690379,1,1,0,0
8714365,1,1,0,0
8734368,1,1,0,0
8754367,1,1,0,0
8778367,1,1,0,0
8802329,1,1,0,0
8826342,1,1,0,0
8846325,1,1,0,0
8866323,1,1,0,0
8890371,1,1,0,0
8914351,1,1,0,0
8934367,1,1,0,0
8958332,1,1,0,0
8979142,1,1,0,0
8999140,1,1,0,0
9019157,1,1,0,0
9043148,1,1,0,0
9067137,1,1,0,0
9091128,1,1,0,0
9111146,1,1,0,0
9135100,1,1,0,0
9155099,1,1,0,0
9175110,1,1,0,0
9195111,1,1,0,0
9215112,1,1,0,0
9239132,1,1,0,0
9263099,1,1,0,0
9283102,1,1,0,0
9303103,1,1,0,0
9327173,1,1,0,0
9351142,1,1,0,0
9375118,1,1,0,0
9395117,1,1,0,0
9419123,1,1,0,0
9439949,1,1,0,0
9463925,1,1,0,0
9483922,1,1,0,0
9503923,1,1,0,0
9523922,1,1,0,0
9543940,1,1,0,0
9563925,1,1,0,0
9583940,1,1,0,0
9603929,1,1,0,0
9627923,1,1,0,0
9647928,1,1,0,0
9667945,1,1,0,0
9691926,1,1,0,0
9711923,1,1,0,0
9731923,1,1,0,0
9751951,1,1,0,0
9775943,1,1,0,0
9799932,1,1,0,0
9823954,1,1,0,0
9847943,1,1,0,0
9868755,1,1,0,0
9892742,1,1,0,0
9916767,1,1,0,0
9940789,1,1,0,0
9964776,1,1,0,0
9984731,1,1,0,0
10008737,1,1,0,0
10028737,1,1,0,0
10048745,1,1,0,0
10072770,1,1,0,0
10092775,1,1,0,0
10112731,1,1,0,0
10136730,1,1,0,0
10156731,1,1,0,0
10180818,1,1,0,0
10200783,1,1,0,0
10220769,1,1,0,0
10240757,1,1,0,0
10260730,1,1,0,0
10284742,1,1,0,0
10305507,1,1,0,0
10325540,1,1,0,0
10345544,1,1,0,0
10369550,1,1,0,0
10393505,1,1,0,0
10417528,1,1,0,0
10441554,1,1,0,0
10461507,1,1,0,0
10485505,1,1,0,0
10509509,1,1,0,0
10529538,1,1,0,0
10549507,1,1,0,0
10573533,1,1,0,0
10593535,1,1,0,0
10613539,1,1,0,0
10633504,1,1,0,0
10657528,1,1,0,0
10677530,1,1,0,0
10701546,1,1,0,0
10725613,1,1,0,0
10746357,1,1,0,0
10766405,1,1,0,0
10790364,1,1,0,0
10814348,1,1,0,0
10838332,1,1,0,0
10858343,1,1,0,0
10882363,1,1,0,0
10902330,1,1,0,0
10926354,1,1,0,0
10950367,1,1,0,0
10970397,1,1,0,0
10990385,1,1,0,0
11014388,1,1,0,0
11038330,1,1,0,0
11058337,1,1,0,0
11082373,1,1,0,0
11106337,1,1,0,0
11130404,1,1,0,0
11150408,1,1,0,0
11174331,1,1,0,0
11198346,1,1,0,0
11219164,1,1,0,0
11243151,1,1,0,0
11267149,1,1,0,0
11287143,1,1,0,0
11311161,1,1,0,0
11335126,1,1,0,0
11355136,1,1,0,0
