timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
3227080,-0.007151386,-0.006748477,0.014253042,3980,0,-0.38607302,0.45591187,-9.821851,3980
3231074,-0.007571524,-0.0074622813,0.01582304,3994,0,-0.36936837,0.44620347,-9.832416,3994
3235080,-0.006823069,-0.010441965,0.015594981,4006,0,-0.37407878,0.45914382,-9.818869,4006
3239111,-0.008424532,-0.010398116,0.015176878,4031,0,-0.38308367,0.47795612,-9.798406,4031
3243075,-0.0073497924,-0.008337937,0.014176924,3964,0,-0.3783296,0.4633983,-9.809353,3964
3247073,-0.008528989,-0.0077486825,0.015074412,3998,0,-0.38126242,0.4528433,-9.818178,3998
3251073,-0.006397395,-0.010203194,0.015070571,4000,0,-0.38853145,0.47096822,-9.827058,4000
3255080,-0.007157586,-0.010248355,0.013685166,4007,0,-0.39429045,0.4719131,-9.828388,4007
3259084,-0.005968089,-0.009120041,0.014675193,4004,0,-0.3670485,0.46236703,-9.827931,4004
3263073,-0.008638451,-0.010005642,0.01551547,3989,0,-0.36891815,0.43801525,-9.821689,3989
3267073,-0.008526152,-0.009910593,0.016049776,4000,0,-0.3965573,0.46778,-9.8231945,4000
3271082,-0.008732088,-0.008980445,0.016632034,4009,0,-0.39557946,0.47080642,-9.813001,4009
3275080,-0.008202453,-0.00733338,0.015516319,3998,0,-0.3899335,0.45444027,-9.823306,3998
3279092,-0.007684513,-0.009024882,0.015010729,4012,0,-0.39078245,0.46806335,-9.815568,4012
3283073,-0.0075767874,-0.008912406,0.015122075,3981,0,-0.39760667,0.45974407,-9.825058,3981
3287074,-0.0070402646,-0.006132706,0.014705652,4001,0,-0.37219924,0.44913828,-9.821718,4001
3291103,-0.008525187,-0.005734272,0.015796265,4029,0,-0.38126698,0.45750982,-9.815132,4029
3295080,-0.00979768,-0.008524662,0.015690884,3977,0,-0.39323238,0.46490264,-9.808511,3977
3299073,-0.0072361766,-0.008673177,0.016845433,3993,0,-0.39067554,0.45305237,-9.788808,3993
3303073,-0.007992658,-0.005785443,0.016646221,4000,0,-0.36629236,0.45416483,-9.803905,4000
3307850,-0.007988033,-0.0070878994,0.015008995,4777,0,-0.38230568,0.46299833,-9.818975,4777
3311850,-0.007893823,-0.007345482,0.015642798,4000,0,-0.39133072,0.45412573,-9.814074,4000
3315850,-0.0062997774,-0.0065973285,0.015418419,4000,0,-0.36859843,0.4486884,-9.820038,4000
3319850,-0.006167121,-0.008153287,0.014832474,4000,0,-0.37664202,0.44415998,-9.797615,4000
3323856,-0.008008381,-0.010064331,0.014760869,4006,0,-0.39471754,0.45951587,-9.806676,4006
3327850,-0.006395677,-0.009638597,0.016798858,3994,0,-0.38179496,0.46757036,-9.814701,3994
3331850,-0.006925254,-0.0066511887,0.014376243,4000,0,-0.36686847,0.44339657,-9.799147,4000
3335850,-0.0086394055,-0.009473065,0.013820026,4000,0,-0.37054104,0.46531916,-9.797943,4000
3339887,-0.008928862,-0.009619332,0.016379135,4037,0,-0.38492748,0.4653071,-9.79043,4037
3344717,-0.0073260516,-0.008566309,0.016559837,4830,0,-0.37937728,0.44369057,-9.787789,4830
3349474,-0.0063114287,-0.009121101,0.014844158,4757,0,-0.3900002,0.44871697,-9.813156,4757
3353474,-0.009057602,-0.008794224,0.014614859,4000,0,-0.3951121,0.44824165,-9.810601,4000
3357474,-0.0052214144,-0.008847317,0.015966192,4000,0,-0.377416,0.44304812,-9.813802,4000
3361474,-0.0061824108,-0.007962394,0.015161707,4000,0,-0.36818635,0.43359452,-9.793245,4000
3365474,-0.00713652,-0.007577168,0.016138034,4000,0,-0.38072032,0.43999544,-9.808153,4000
3369474,-0.0073454506,-0.00866564,0.016843952,4000,0,-0.38130292,0.45152766,-9.82161,4000
3373511,-0.005540206,-0.009755896,0.017097723,4037,0,-0.3692682,0.4418351,-9.808151,4037
3377474,-0.008421572,-0.012385462,0.01681276,3963,0,-0.38076794,0.43512818,-9.806877,3963
3381474,-0.0077765053,-0.010475316,0.016664555,4000,0,-0.39235094,0.45080972,-9.827741,4000
3385483,-0.008095717,-0.0116618965,0.016834255,4009,0,-0.38470614,0.47252136,-9.830243,4009
3389474,-0.008614857,-0.01028066,0.017001038,3991,0,-0.3693461,0.46541208,-9.821147,3991
3393484,-0.006485824,-0.010159932,0.019215642,4010,0,-0.3779676,0.4574734,-9.824728,4010
3397474,-0.0076705655,-0.010792602,0.016542532,3990,0,-0.38087752,0.46671486,-9.8300705,3990
3401474,-0.007983427,-0.0086617125,0.016632717,4000,0,-0.36028776,0.45143107,-9.8183365,4000
3405490,-0.007250634,-0.0102283005,0.015924783,4016,0,-0.36337152,0.45529255,-9.79525,4016
3409474,-0.008112276,-0.010340399,0.016251659,3984,0,-0.4041236,0.4507196,-9.789555,3984
3413480,-0.009030263,-0.008258236,0.01984858,4006,0,-0.38440672,0.4648137,-9.842985,4006
3417474,-0.005958414,-0.008884731,0.016707823,3994,0,-0.34858698,0.46332726,-9.876389,3994
3421474,-0.008090665,-0.012344084,0.015738875,4000,0,-0.38570264,0.46383944,-9.84214,4000
3425510,-0.0077755353,-0.009867165,0.01753528,4036,0,-0.4169048,0.44145817,-9.773799,4036
3429474,-0.0073467107,-0.006348606,0.0149240745,3964,0,-0.3882166,0.45186466,-9.794948,3964
3433480,-0.008190086,-0.008126002,0.01676235,4006,0,-0.36758187,0.44959372,-9.845134,4006
3437474,-0.008317059,-0.011084972,0.015999774,3994,0,-0.38191336,0.46596313,-9.833891,3994
3441480,-0.0079934485,-0.0089745335,0.01662039,4006,0,-0.40694407,0.46638882,-9.7733135,4006
3445479,-0.0064925896,-0.008576983,0.017269706,3999,0,-0.39486253,0.45142496,-9.772679,3999
3449474,-0.009050507,-0.007260064,0.01616685,3995,0,-0.37505007,0.4537023,-9.82648,3995
3453474,-0.007558675,-0.010246964,0.016672488,4000,0,-0.3596784,0.47050977,-9.887906,4000
3457515,-0.007877059,-0.009566128,0.015724827,4041,0,-0.36089152,0.46925172,-9.858466,4041
3461480,-0.0077836243,-0.010121163,0.015833452,3965,0,-0.3736473,0.45602965,-9.815571,3965
3465499,-0.0057580173,-0.009096023,0.016817072,4019,0,-0.38300574,0.44975635,-9.788572,4019
3469474,-0.0068078823,-0.009090441,0.01670502,3975,0,-0.3820347,0.4802426,-9.783535,3975
3473474,-0.0058458406,-0.0066385963,0.016817529,4000,0,-0.3695205,0.46469176,-9.779817,4000
3477523,-0.008204222,-0.009236804,0.014919932,4049,0,-0.38051108,0.46174732,-9.824296,4049
3481480,-0.009354633,-0.013393039,0.017418858,3957,0,-0.40274018,0.47575673,-9.851423,3957
3485516,-0.0065846993,-0.011139836,0.01758421,4036,0,-0.40707675,0.47688922,-9.832624,4036
3489474,-0.0047977143,-0.0068595097,0.0171194,3958,0,-0.38711542,0.46398702,-9.765692,3958
3493474,-0.007675595,-0.009657505,0.014888811,4000,0,-0.396763,0.44928274,-9.766018,4000
3497485,-0.008210279,-0.009639734,0.014568737,4011,0,-0.3962185,0.45704025,-9.756602,4011
3501486,-0.006714966,-0.010473136,0.01655314,4001,0,-0.38959008,0.4634948,-9.772218,4001
3505474,-0.0073453123,-0.010494003,0.017083826,3988,0,-0.38444358,0.4601875,-9.78916,3988
3509474,-0.009688587,-0.011513721,0.015896259,4000,0,-0.3783966,0.46031988,-9.815484,4000
3513474,-0.010966905,-0.010848543,0.015388384,4000,0,-0.3933482,0.4712345,-9.834127,4000
3517473,-0.0077745193,-0.01008581,0.014982392,3999,0,-0.37620044,0.4858904,-9.8417425,3999
3521480,-0.004478683,-0.009621043,0.01657273,4007,0,-0.38049752,0.48823854,-9.841618,4007
3525474,-0.005126803,-0.010936292,0.014921197,3994,0,-0.40096813,0.47107285,-9.830697,3994
3529474,-0.0057700817,-0.009833018,0.014017961,4000,0,-0.3893423,0.4697127,-9.79733,4000
3533475,-0.0066073784,-0.009848136,0.016793588,4001,0,-0.36972278,0.43466505,-9.807486,4001
3537474,-0.0062753437,-0.008507996,0.018023873,3999,0,-0.37932763,0.43716976,-9.809708,3999
3541506,-0.0075646807,-0.009517264,0.016885968,4032,0,-0.3655301,0.45518377,-9.851598,4032
3545474,-0.008647562,-0.009688883,0.015750727,3968,0,-0.3601487,0.45859006,-9.877973,3968
3549474,-0.009065117,-0.00896677,0.013754347,4000,0,-0.36964342,0.4552795,-9.877557,4000
3553495,-0.0073584886,-0.008689504,0.014930131,4021,0,-0.37707886,0.4644934,-9.822796,4021
3557474,-0.007891462,-0.006702804,0.015753115,3979,0,-0.3858283,0.45056704,-9.7874775,3979
3561484,-0.0054545994,-0.0055092573,0.014938659,4010,0,-0.3716089,0.45720205,-9.796884,4010
3565474,-0.008196802,-0.0090354625,0.015344741,3990,0,-0.38421103,0.4677543,-9.820466,3990
3569474,-0.009573334,-0.009153524,0.015664017,4000,0,-0.37938645,0.48104382,-9.8180065,4000
3573515,-0.007985382,-0.008472896,0.017696824,4041,0,-0.35968304,0.46360344,-9.811655,4041
3577474,-0.010014282,-0.007685951,0.016154123,3959,0,-0.36126128,0.45509717,-9.827353,3959
3581491,-0.008756583,-0.009344812,0.015246788,4017,0,-0.39760897,0.45140496,-9.8431015,4017
3585474,-0.0071495986,-0.009201406,0.014265003,3983,0,-0.39332998,0.46367127,-9.836822,3983
3589474,-0.005434576,-0.009164052,0.015957443,4000,0,-0.37080902,0.4757936,-9.829267,4000
3593484,-0.008096055,-0.010080542,0.014879519,4010,0,-0.40098476,0.46016982,-9.833158,4010
3597474,-0.008316128,-0.0084337825,0.016224086,3990,0,-0.39059615,0.45214593,-9.790384,3990
3602273,-0.007196532,-0.006328272,0.013921257,4799,0,-0.37077087,0.43169308,-9.79591,4799
3606274,-0.0077871555,-0.009095485,0.014270892,4001,0,-0.38315436,0.42726874,-9.814375,4001
3610274,-0.007795228,-0.009088805,0.014254629,4000,0,-0.40678093,0.4673562,-9.846837,4000
3614274,-0.0032211447,-0.007700014,0.01632084,4000,0,-0.4019138,0.4868425,-9.803877,4000
3618278,-0.0013855227,-0.0050811744,0.017698942,4004,0,-0.38673186,0.4743404,-9.769329,4004
3622274,-0.008390762,-0.0071204705,0.012986206,3996,0,-0.4231159,0.5109316,-9.776988,3996
3626273,-0.01535678,-0.010179829,0.008085158,3999,0,-0.3535661,0.49226516,-9.922491,3999
3630274,-0.019556994,-0.02604085,0.006741995,4001,0,-0.281456,0.5236255,-10.115619,4001
3634280,-0.0048283674,-0.034353215,0.0014152665,4006,0,-0.35043442,0.64441484,-10.055831,4006
3638250,0.000569655,-0.034567457,-0.0012956978,3970,0,-0.4330872,0.47358674,-9.789093,3970
3642291,-0.015113111,-0.03265337,-0.0036753232,4041,0,-0.4506702,0.47714466,-9.806982,4041
3646290,-0.012042988,-0.03384761,-0.005988724,3999,0,-0.35318357,0.6218615,-9.921623,3999
3650274,-0.0043218317,-0.039780486,-0.011904195,3984,0,-0.4338288,0.5490849,-9.8246975,3984
3654293,-0.011291761,-0.033724096,-0.016428983,4019,0,-0.4740238,0.52347237,-9.725626,4019
3658280,-0.017358465,-0.032652795,-0.019542655,3987,0,-0.4490455,0.59007436,-9.78358,3987
3662278,-0.012726595,-0.032459684,-0.024663338,3998,0,-0.44773948,0.5999752,-9.813944,3998
3666274,-0.005388183,-0.028915528,-0.027762346,3996,0,-0.50440305,0.5853401,-9.754859,3996
3670273,0.005677514,-0.022393107,-0.03160288,3999,0,-0.4934784,0.6662966,-9.846057,3999
3674296,0.015620958,-0.021060292,-0.035149727,4023,0,-0.4253927,0.52660185,-9.7329235,4023
3678280,-0.0013804582,-0.016624264,-0.03964243,3984,0,-0.49491492,0.3805439,-9.5555725,3984
3682317,-0.01599919,-0.004475133,-0.039282702,4037,0,-0.47908604,0.44579902,-9.615972,4037
3686274,-0.01501679,-0.0026423582,-0.042322665,3957,0,-0.42677224,0.5718151,-9.826476,3957
3690273,-0.0030878496,-0.0046786293,-0.047021203,3999,0,-0.4401331,0.5970874,-9.838976,3999
3694311,-0.0038483858,-0.0053076614,-0.052817944,4038,0,-0.5056389,0.5715605,-9.707221,4038
3698280,-0.01015893,0.00036839378,-0.06129266,3969,0,-0.51731,0.6368331,-9.775793,3969
