timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
3227526,2.3450007,0.042531267,0.8447987
3434043,2.3485343,0.04358156,0.85088074
3634909,2.3498788,0.043232247,0.84991926
3838915,2.3530502,0.04164459,0.84372437
4043702,2.3231351,0.038555175,0.8498902
4244107,2.3256655,0.04331985,0.849188
4447677,2.3161063,0.043333896,0.84399056
4652355,2.3518045,0.04469528,0.85238045
4853470,2.3153958,0.04465772,0.84973216
5056483,2.3576024,0.03896279,0.8403392
5261598,2.3362656,0.041538153,0.8507885
5461294,2.3336244,0.04383055,0.84194225
5664534,2.304679,0.042441823,0.848195
5870023,2.3516314,0.042800542,0.84456116
6070771,2.3499444,0.041928995,0.8463837
6270390,2.2270331,0.03984115,0.83951116
6474107,2.3252108,0.041226413,0.8418075
6678938,2.3634326,0.0365886,0.840531
6879229,2.3530664,0.03986986,0.83816993
7082829,2.3723,0.03662684,0.8415549
7284420,2.341374,0.043361556,0.84495175
7491247,2.3502328,0.043081336,0.8372266
7690932,2.3139281,0.044110604,0.8445929
8300032,2.3510125,0.04468678,0.84426993
8502362,2.3529353,0.042905588,0.8419597
8702381,2.3469336,0.053564306,0.8428289
8907251,2.3681633,0.052782636,0.8450599
9111266,2.2589185,0.050200827,0.8540759
9311184,2.3946166,0.0411496,0.8545814
9511941,2.3121593,0.044009794,0.8481182
9716460,2.3356445,0.049923573,0.850838
9917156,2.3648713,0.05080201,0.85113317
10120818,2.417421,0.049828786,0.84626234
10325858,2.326867,0.066401735,0.85451233
10526441,2.35249,0.10704966,0.84749126
10726519,2.3443902,0.1040157,0.85200554
10930499,2.3250394,0.09006014,0.8528193
11130523,2.334395,0.08620624,0.85128677
11331198,2.38732,0.0737643,0.85072076
11535639,2.387611,0.07732862,0.85352105
11739970,2.3685358,0.07795244,0.84563696
11940024,2.3770564,0.07159579,0.84643453
12145832,2.3604848,0.055385176,0.84283406
12348913,2.360147,0.059302446,0.8436884
12549713,2.341065,0.047157858,0.84648395
12753794,2.3744438,0.041445214,0.8406371
12954909,2.3582687,0.03588047,0.8304318
13154847,2.3424413,0.039651714,0.83438
13358437,2.3237572,0.0430424,0.8299285
13563390,2.4142358,0.046055194,0.83624005
13763941,2.2926426,0.05588438,0.84339124
13964203,2.3184543,0.0480738,0.8512949
14167950,2.3152254,0.041645616,0.85140663
14368795,2.3691638,0.044120647,0.85292184
14573033,2.312941,0.044726744,0.8420108
14776880,2.4031549,0.07599896,0.8404291
14977639,2.3817484,0.08254824,0.85429484
15177636,2.362693,0.0696712,0.84702605
15382564,2.3834884,0.07193513,0.85076827
15582599,2.368054,0.06549316,0.8569525
15783703,2.4214306,0.069699116,0.8548193
15987244,2.3009653,0.058065627,0.851637
16192405,2.3084784,0.040551312,0.85162026
16392410,2.34997,0.040471554,0.8508092
16596831,2.2770112,0.042358562,0.85436845
16801800,2.3633792,0.04082707,0.85258466
17001280,2.3725002,0.051887743,0.8476954
17205620,2.286022,0.04166871,0.8555508
17410294,2.3541298,0.032981906,0.8520014
17610687,2.4204464,0.03940489,0.8524196
17814369,2.2947593,0.037299674,0.84725016
18015210,2.3484974,0.04425712,0.8512418
18215237,2.3721826,0.04864241,0.85510993
18415983,2.3351727,0.045127913,0.8508974
18620713,2.4440913,0.035790123,0.85278773
18821048,2.3434868,0.037467107,0.8502486
19024824,2.2717628,0.048885398,0.8462364
19229095,2.3563862,0.061212726,0.8520954
19429968,2.324512,0.065796845,0.8459615
19630488,2.3358939,0.059148673,0.8459286
19831754,2.3699362,0.047824416,0.8504557
20034386,2.3258085,0.04287795,0.8525
