timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
9238823,0,0.0,0.0,0.0,0.0,0.3362938,-2.7384729e-06,-1.6806595e-06,0.0,-0.028818272,0.0547114,-0.0046588876,-0.018656852,-0.0006860761,-0.0004210596,0.0,0.38678506,0.8272876,1.5602715,-0.66803324,0.0,0.10835409,0.0046588876,0.18693365,0.35646635,0.2974891,0.27812314,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9242701,0,0.0,0.0,0.0,0.0,0.33595976,-2.7384729e-06,-1.6806595e-06,0.0,-0.024410257,0.058812328,-0.0005923662,-0.01482793,-0.0006860761,-0.0004210596,0.0,0.7854741,0.8456998,1.0520461,-0.6670314,0.0,0.10460618,0.0005923662,0.18259418,0.35272896,0.2916392,0.27573872,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9342776,0,0.0,0.0,0.0,0.0,0.32975322,-2.7384729e-06,-1.6806595e-06,0.0,0.034324758,0.032820858,-0.07424608,-0.09239814,-0.0006860761,-0.0004210596,0.0,0.48305473,-0.62423146,-0.85724527,-0.64693964,0.0,0.10962626,0.07424608,0.18178105,0.35276327,0.28332418,0.27215508,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9443609,0,0.0,0.0,0.0,0.0,0.32097,-2.7384729e-06,-1.6806595e-06,0.0,0.03045136,0.013733815,-0.06203132,-0.07962635,-0.0006860761,-0.0004210596,0.0,-0.9617703,-1.6330062,-0.48663536,-0.63089466,0.0,0.105644494,0.06203132,0.17745827,0.3492679,0.27137566,0.2664217,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9547623,0,0.0,0.0,0.0,0.0,0.31689122,-2.7384729e-06,-1.6806595e-06,0.0,0.016412739,-0.04177512,-0.058321524,-0.0712089,-0.0006860761,-0.0004210596,0.0,-0.31608874,-1.8342663,-0.45277736,-0.58709526,0.0,0.12648463,0.058321524,0.17384578,0.34594333,0.26496473,0.26088056,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9647526,0,0.0,0.0,0.0,0.0,0.31775177,-2.7384729e-06,-1.6806595e-06,0.0,0.050901286,-0.013628391,-0.07528433,-0.07977832,-0.0006860761,-0.0004210596,0.0,0.12139311,0.09792313,-0.42848927,-0.5228515,0.0,0.13915205,0.07528433,0.1742447,0.34628263,0.26138955,0.25758192,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9751700,0,0.0,0.0,0.0,0.0,0.32327846,-2.7384729e-06,-1.6806595e-06,0.0,0.054275624,-0.12135754,-0.07223146,-0.063640095,-0.0006860761,-0.0004210596,0.0,0.9020211,-0.59018564,-1.7253886,-0.4648218,0.0,0.15464193,0.07223146,0.17580596,0.34787717,0.2597187,0.25472462,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9851489,0,0.0,0.0,0.0,0.0,0.33005217,-2.7384729e-06,-1.6806595e-06,0.0,0.047895107,0.0062574344,-0.13419244,-0.11227146,-0.0006860761,-0.0004210596,0.0,-1.2777863,-0.98552656,-0.9312946,-0.458639,0.0,0.14742035,0.13419244,0.17222327,0.344217,0.25368118,0.24914728,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
9952287,0,0.0,0.0,0.0,0.0,0.32420015,-2.7384729e-06,-1.6806595e-06,0.0,-0.0854885,0.056251165,-0.26004416,-0.230553,-0.0006860761,-0.0004210596,0.0,-1.6884669,0.93718356,-2.2924652,-0.43983483,0.0,0.1588178,0.26004416,0.16758598,0.33910918,0.24660906,0.24319951,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10056316,0,0.0,0.0,0.0,0.0,0.2950719,-2.7384729e-06,-1.6806595e-06,0.0,-0.20841728,0.103336394,-0.5451029,-0.50781465,-0.0006860761,-0.0004210596,0.0,-0.8269449,-0.081092045,-2.3655505,-0.40457532,0.0,0.18701786,0.5451029,0.17001563,0.34085003,0.24947706,0.24059583,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10156279,0,0.0,0.0,0.0,0.0,0.24178313,-2.7384729e-06,-1.6806595e-06,0.0,-0.25457758,0.12786792,-0.7641011,-0.7203506,-0.0006860761,-0.0004210596,0.0,-0.6417541,-0.29940072,-1.0384499,-0.355805,0.0,0.22698753,0.7641011,0.16787572,0.33758342,0.25031415,0.2357094,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10256504,0,0.0,0.0,0.0,0.0,0.1774098,-2.7384729e-06,-1.6806595e-06,0.0,-0.3124471,0.055040367,-0.8139807,-0.7619844,-0.0006860761,-0.0004210596,0.0,-0.29735208,-1.1446496,-0.30983514,-0.29197547,0.0,0.265666,0.8139807,0.16468152,0.33289814,0.25069258,0.23048523,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10357147,0,0.0,0.0,0.0,0.0,0.1058639,-2.7384729e-06,-1.6806595e-06,0.0,-0.29594448,-0.08571337,-0.7621401,-0.7087701,-0.0006860761,-0.0004210596,0.0,0.5549667,-2.0523565,1.9350709,-0.19291653,0.0,0.24216467,0.7621401,0.16363236,0.3299766,0.2514474,0.22594759,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10461273,0,0.0,0.0,0.0,0.0,0.042497117,-2.7384729e-06,-1.6806595e-06,0.0,-0.18059418,-0.29268318,-0.5748045,-0.5238262,-0.0006860761,-0.0004210596,0.0,1.2103268,-2.3433213,2.559555,-0.014792372,0.0,0.23869117,0.5748045,0.16271943,0.32716182,0.25050488,0.22152147,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10561180,0,0.0,0.0,0.0,0.0,-0.0014865288,-2.7384729e-06,-1.6806595e-06,0.0,-0.10385107,-0.4806688,-0.39780653,-0.3496867,-0.0006860761,-0.0004210596,0.0,0.3287697,-1.4636475,1.2299879,0.22017588,0.0,0.19436866,0.39780653,0.16476296,0.32748085,0.25038284,0.2188135,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10665150,0,0.0,0.0,0.0,0.0,-0.037719067,-2.7384729e-06,-1.6806595e-06,0.0,-0.12572664,-0.6201786,-0.24851671,-0.2095331,-0.0006860761,-0.0004210596,0.0,-1.582957,-1.4325812,-0.010795334,0.47938392,0.0,0.15153563,0.24851671,0.16364396,0.32473582,0.24880774,0.21470913,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10765953,0,0.0,0.0,0.0,0.0,-0.065848045,-2.7384729e-06,-1.6806595e-06,0.0,-0.20184153,-0.7624813,-0.18472786,-0.15482068,-0.0006860761,-0.0004210596,0.0,-0.8526105,-1.2895273,0.70641947,0.6927122,0.0,0.12459743,0.18472786,0.16260983,0.32206917,0.25095975,0.21095236,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10865881,0,0.0,0.0,0.0,0.0,-0.08056074,-2.7384729e-06,-1.6806595e-06,0.0,-0.27491137,-0.8983237,-0.10412179,-0.076129705,-0.0006860761,-0.0004210596,0.0,0.032274894,-1.5234184,1.072937,0.8456268,0.0,0.1301931,0.10412179,0.1644118,0.3221116,0.24845879,0.20442794,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
10966038,0,0.0,0.0,0.0,0.0,-0.08166542,-2.7384729e-06,-1.6806595e-06,0.0,-0.2598227,-0.99027926,0.004664459,0.035167202,-0.0006860761,-0.0004210596,0.0,0.41620842,-0.62227446,0.9241366,1.0171509,0.0,0.1070708,-0.004664459,0.1633988,0.3191913,0.24556416,0.19658749,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11070035,0,0.0,0.0,0.0,0.0,-0.08540272,-2.7384729e-06,-1.6806595e-06,0.0,-0.23033428,-0.9856696,0.008782666,0.034245197,-0.0006860761,-0.0004210596,0.0,0.34376436,-0.11072137,-0.57532513,1.2085911,0.0,0.1,-0.008782666,0.16630563,0.31985,0.25022885,0.19155218,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11170005,0,0.0,0.0,0.0,0.0,-0.09248275,-2.7384729e-06,-1.6806595e-06,0.0,-0.18252832,-0.9528424,-0.08516939,-0.06286109,-0.0006860761,-0.0004210596,0.0,0.47386098,-0.31399822,-2.1667187,1.3746092,0.0,0.1,0.08516939,0.16679347,0.31864408,0.25486702,0.18698291,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11270721,0,0.0,0.0,0.0,0.0,-0.1187791,-2.7384729e-06,-1.6806595e-06,0.0,-0.087814435,-0.8917837,-0.18395579,-0.16901955,-0.0006860761,-0.0004210596,0.0,0.32130572,-0.80272055,0.32685843,1.5234219,0.0,0.1,0.18395579,0.16889557,0.31839773,0.26414573,0.18345934,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11374846,0,0.0,0.0,0.0,0.0,-0.15262716,-2.7384729e-06,-1.6806595e-06,0.0,0.014153517,-0.80262613,-0.28375903,-0.2741108,-0.0006860761,-0.0004210596,0.0,1.7420875,0.9519871,-0.06551169,1.6500543,0.0,0.120462455,0.28375903,0.16663532,0.31408092,0.2711141,0.17963465,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11474683,0,0.0,0.0,0.0,0.0,-0.19364458,-2.7384729e-06,-1.6806595e-06,0.0,0.15149474,-0.6932031,-0.37162575,-0.36383176,-0.0006860761,-0.0004210596,0.0,1.5236089,0.4099719,-0.001737457,1.797295,0.0,0.12672266,0.37162575,0.16815072,0.31251928,0.27901906,0.17783967,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11578767,0,0.0,0.0,0.0,0.0,-0.24003245,-2.7384729e-06,-1.6806595e-06,0.0,0.27901345,-0.57257766,-0.39208502,-0.38180703,-0.0006860761,-0.0004210596,0.0,0.97772634,0.8969288,0.75176007,1.9429399,0.0,0.14757046,0.39208502,0.16727287,0.30844015,0.284215,0.17594168,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11679586,0,0.0,0.0,0.0,0.0,-0.2752841,-2.7384729e-06,-1.6806595e-06,0.0,0.38502055,-0.37683177,-0.39349657,-0.36705497,-0.0006860761,-0.0004210596,0.0,0.80973387,1.2485982,0.46068656,2.097054,0.0,0.20294514,0.39349657,0.1668517,0.30459473,0.2869252,0.17452215,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11779534,0,0.0,0.0,0.0,0.0,-0.2937655,-2.7384729e-06,-1.6806595e-06,0.0,0.46217847,-0.18249387,-0.36813912,-0.31252697,-0.0006860761,-0.0004210596,0.0,0.567658,1.331761,0.37230816,2.273186,0.0,0.23061746,0.36813912,0.16955386,0.30343273,0.2894278,0.17427789,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11879692,0,0.0,0.0,0.0,0.0,-0.2877602,-2.7384729e-06,-1.6806595e-06,0.0,0.49020153,0.032838754,-0.33456653,-0.23520085,-0.0006860761,-0.0004210596,0.0,0.2854897,1.0332206,-0.12704779,2.4505458,0.0,0.2735556,0.33456653,0.16941504,0.300112,0.2868953,0.17319061,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
11983566,0,0.0,0.0,0.0,0.0,-0.2610831,-2.7384729e-06,-1.6806595e-06,0.0,0.47641248,0.21928258,-0.2897293,-0.1401366,-0.0006860761,-0.0004210596,0.0,-0.6438136,1.194394,-0.89556545,2.6373446,0.0,0.2916468,0.2897293,0.17327344,0.30014098,0.28661597,0.17347938,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12083508,0,0.0,0.0,0.0,0.0,-0.2265366,-2.7384729e-06,-1.6806595e-06,0.0,0.40562326,0.3333446,-0.21629973,-0.02402676,-0.0006860761,-0.0004210596,0.0,0.08509855,-0.48508048,0.48286164,2.836257,0.0,0.29778945,0.21629973,0.16962613,0.29586804,0.2776288,0.17233546,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12184374,0,0.0,0.0,0.0,0.0,-0.15934597,-2.7384729e-06,-1.6806595e-06,0.0,0.31781495,0.35536873,-0.04867412,0.19331582,-0.0006860761,-0.0004210596,0.0,-0.5575117,-0.4672182,0.045158878,2.9786136,0.0,0.3087058,0.04867412,0.1677686,0.29291618,0.27053994,0.17192134,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12288428,0,0.0,0.0,0.0,0.0,-0.060717132,-2.7384729e-06,-1.6806595e-06,0.0,0.2619562,0.31879595,0.036438897,0.336435,-0.0006860761,-0.0004210596,0.0,0.52732354,-1.1412269,-0.83973634,3.1327512,0.0,0.33340648,-0.036438897,0.17050721,0.29326952,0.26754645,0.1720253,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12388313,0,0.0,0.0,0.0,0.0,0.060007874,-2.7384729e-06,-1.6806595e-06,0.0,0.27199155,0.24559392,0.1361391,0.50195134,-0.0006860761,-0.0004210596,0.0,1.2208303,-1.0832564,0.79828143,-3.0042775,0.0,0.3630212,-0.1361391,0.17101528,0.29276317,0.26361522,0.17191496,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12492310,0,0.0,0.0,0.0,0.0,0.22483604,-2.7384729e-06,-1.6806595e-06,0.0,0.31137753,0.1284231,0.34217277,0.78430885,-0.0006860761,-0.0004210596,0.0,0.13315271,-1.122171,0.9202048,-2.9091237,0.0,0.3378057,-0.34217277,0.17281005,0.29325372,0.2629224,0.17217802,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12593165,0,0.0,0.0,0.0,0.0,0.40053064,-2.7384729e-06,-1.6806595e-06,0.0,0.22113043,-0.016095288,0.5079485,1.0072687,-0.0006860761,-0.0004210596,0.0,-0.80843204,-1.2356426,0.376272,-2.839538,0.0,0.26325786,-0.5079485,0.16905485,0.2906137,0.25750703,0.17104277,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12693034,0,0.0,0.0,0.0,0.0,0.565232,-2.7384729e-06,-1.6806595e-06,0.0,0.16781215,-0.12295507,0.6434703,1.1729736,-0.0006860761,-0.0004210596,0.0,-0.17677706,-0.5289231,0.14099006,-2.8018239,0.0,0.18014109,-0.6434703,0.168749,0.2901602,0.25712383,0.17061625,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12793161,0,0.0,0.0,0.0,0.0,0.72296005,-2.7384729e-06,-1.6806595e-06,0.0,0.059452917,-0.22844878,0.64433783,1.1783599,-0.0006860761,-0.0004210596,0.0,-1.2931232,-0.76918876,-1.6064634,-2.8230464,0.0,0.1,-0.64433783,0.16583781,0.28792065,0.25620684,0.16979551,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12897220,0,0.0,0.0,0.0,0.0,0.8506977,-2.7384729e-06,-1.6806595e-06,0.0,-0.11204283,-0.28561676,0.55866367,1.0731165,-0.0006860761,-0.0004210596,0.0,-0.8500059,-0.10680632,-0.9967926,-2.8591833,0.0,0.1,-0.55866367,0.16348387,0.28579333,0.25745487,0.16898313,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
12997996,0,0.0,0.0,0.0,0.0,0.96111065,-2.7384729e-06,-1.6806595e-06,0.0,-0.15385549,-0.30006102,0.6655961,1.1544709,-0.0006860761,-0.0004210596,0.0,-0.37133902,-0.2591324,0.58346605,-2.918802,0.0,0.1,-0.6655961,0.16457714,0.28576672,0.2636219,0.16910201,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
