timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
3224671,0.2839636,0.32487407,0.75036407
3235071,0.2856593,0.33048618,0.74210733
3244672,0.2856593,0.33048618,0.74210733
3255072,0.2996071,0.3306234,0.73863816
3263894,0.28212932,0.34481162,0.7359306
3275071,0.29963213,0.3480499,0.7427342
3283863,0.27687863,0.33609837,0.7339146
3295072,0.28921428,0.3335873,0.7523801
3303874,0.28214735,0.33413613,0.73888725
3315071,0.29613394,0.32346073,0.74175847
3323848,0.27863458,0.33427337,0.73552465
3333472,0.27863458,0.33427337,0.73552465
3343081,0.2856593,0.33048618,0.74210733
3352671,0.3013226,0.33258563,0.73362285
3363079,0.2907851,0.33651,0.72367764
3372671,0.30307683,0.32373518,0.73494804
3383079,0.28047147,0.32487407,0.75038534
3392671,0.27520186,0.32332352,0.7452703
3403847,0.28915057,0.32697347,0.7419436
3412671,0.29785287,0.33947387,0.7373129
3431884,0.27520272,0.32683626,0.74541277
3441472,0.2960745,0.33441058,0.73203415
3451890,0.29266247,0.32332352,0.7451637
3461472,0.29086605,0.32893568,0.7369283
3471848,0.29090825,0.33217397,0.7438385
3481472,0.29427373,0.322459,0.7230866
3491847,0.29780805,0.32569736,0.72997546
3501478,0.2909065,0.3251485,0.74355364
3511848,0.2909065,0.3251485,0.74355364
3520671,0.29443997,0.32487407,0.75030005
3531848,0.29268143,0.31616083,0.7482627
3540671,0.29437885,0.32879844,0.7402909
3551847,0.3083284,0.33596116,0.7371065
3560678,0.29958558,0.32724792,0.73511183
3571871,0.28559557,0.3238724,0.73167086
3581483,0.29960796,0.33413613,0.73878056
3591895,0.29264182,0.32346073,0.7417798
3600691,0.29264182,0.32346073,0.7417798
3609478,0.30132347,0.33609837,0.7337653
3619877,0.29088324,0.31474748,0.73974246
3629478,0.28735152,0.32204738,0.7332809
3639879,0.2855379,0.34184772,0.7222314
3649472,0.2821861,0.32332352,0.74522763
3659878,0.2786509,0.31657246,0.7381964
3669472,0.29423416,0.32975894,0.71660376
3679878,0.30303806,0.3345478,0.7286076
3689472,0.30303806,0.3345478,0.7286076
3698272,0.2838314,0.3345478,0.72872496
3699871,0.28390247,0.32879844,0.74035484
3708713,0.29785028,0.32893568,0.73688567
3718272,0.31007272,0.32893568,0.736811
3719871,0.31004214,0.33089784,0.7318064
3728679,0.2855973,0.33089784,0.7319557
3738270,0.29432455,0.31860328,0.7314039
3739871,0.29435554,0.31839746,0.73647964
3748701,0.27348378,0.3108231,0.7498583
3758272,0.30317158,0.33014315,0.7504604
3759908,0.30301654,0.33117226,0.7250813
3768681,0.2943375,0.3290729,0.7335231
3778272,0.2943375,0.3290729,0.7335231
3787871,0.27683294,0.3188091,0.7264347
3797483,0.28735065,0.31853467,0.73313844
3807883,0.2786285,0.30968422,0.73452765
3817479,0.29080406,0.3293473,0.72677666
3828710,0.28735238,0.32556015,0.7334233
3837472,0.29086256,0.31488472,0.7363586
3848671,0.30121925,0.33327168,0.71670353
3857474,0.30122012,0.33678442,0.7168459
3876692,0.289067,0.3240096,0.72826564
3886280,0.28566194,0.34102443,0.74253464
3896707,0.3031199,0.33048618,0.7420007
3906284,0.27871552,0.32669905,0.7487753
3916691,0.2820449,0.33833498,0.7221103
3926279,0.30121925,0.33327168,0.71670353
3936715,0.29959342,0.35886255,0.7363937
3946280,0.29959342,0.35886255,0.7363937
3947049,0.29959342,0.35886255,0.7363937
3956698,0.29959342,0.35886255,0.7363937
3965472,0.31523603,0.36109915,0.7245254
3976697,0.2960926,0.32373518,0.7349907
3985472,0.297852,0.33596116,0.7371705
3996671,0.3065302,0.3345478,0.7285863
4005472,0.30312166,0.3375117,0.74228555
4016671,0.30823028,0.35772365,0.7210418
4025471,0.31533766,0.35338762,0.7411599
4036671,0.3065302,0.3345478,0.7285863
4045514,0.3065302,0.3345478,0.7285863
4054279,0.31705055,0.34481162,0.7357173
4064707,0.3135188,0.3521115,0.7292558
4074278,0.3013226,0.33258563,0.73362285
4084686,0.3047795,0.35744923,0.7278308
4094279,0.2995503,0.3521115,0.72934115
4104697,0.31004736,0.35197428,0.732661
4114279,0.31352055,0.35913697,0.72954065
4124671,0.3031449,0.3479127,0.7460967
4134248,0.3031449,0.3479127,0.7460967
4144672,0.27857432,0.3417105,0.72565794
4153472,0.2996339,0.35507536,0.74301904
4164671,0.3081872,0.3509726,0.71398914
4173471,0.31525064,0.3363728,0.72691226
4184671,0.29781067,0.33623558,0.73040277
4193471,0.3065311,0.33806056,0.7287287
4204672,0.30836624,0.32163572,0.74330455
4213509,0.311824,0.35001212,0.7376549
4223880,0.311824,0.35001212,0.7376549
4233491,0.31356016,0.35183707,0.73602355
4242252,0.3117422,0.3540737,0.7242618
4253472,0.31192735,0.34932604,0.7545743
4263071,0.30826727,0.3398855,0.72709733
