timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
3363578,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
4373716,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
5374504,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
6375928,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
7378537,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
8300517,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
9308427,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
10313816,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
11315559,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
12322614,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
13331305,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
14334570,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
15342915,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
16348079,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
17358065,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
18360438,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
19363495,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
20363652,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
21373718,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
22379338,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
