timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
4030464,4030302,0.00037805,-1.71119e-06,-0.00436094,0.0,0.0,0.0,0.0,-1.0
4034490,4034308,5.52344e-05,4.05367e-05,-0.0044335,0.0,0.0,0.0,0.0,-1.0
4136040,4135916,0.000333361,0.00156523,-0.00386547,0.0,0.0,0.0,0.0,-1.0
4236049,4235894,1.97909e-05,0.00176106,-0.00403234,0.0,0.0,0.0,0.0,-1.0
4339246,4339071,-0.000140566,0.00111688,-0.00366087,0.0,0.0,0.0,0.0,-1.0
4439260,4439122,-0.000223274,0.00134511,-0.00470899,0.0,0.0,0.0,0.0,-1.0
4539258,4539100,0.000810117,0.00111939,-0.00381828,0.0,0.0,0.0,0.0,-1.0
4643225,4643094,0.000409644,0.00157187,-0.00429031,0.0,0.0,0.0,0.0,-1.0
4743222,4743094,0.000424815,0.000773296,-0.00466286,0.0,0.0,0.0,0.0,-1.0
4847269,4847094,0.000382286,0.00108982,-0.00376127,0.0,0.0,0.0,0.0,-1.0
4947301,4947094,0.000180724,0.000949317,-0.00442065,0.0,0.0,0.0,0.0,-1.0
5047231,5047101,-8.52257e-05,0.00114899,-0.00445364,0.0,0.0,0.0,0.0,-1.0
5151270,5151102,0.000227709,0.000243301,-0.00377175,0.0,0.0,0.0,0.0,-1.0
5251290,5251110,9.58998e-05,0.00109963,-0.00425495,0.0,0.0,0.0,0.0,-1.0
5351286,5351108,0.000704093,0.000603469,-0.00450623,0.0,0.0,0.0,0.0,-1.0
5455264,5455127,8.01929e-05,0.00153502,-0.00407872,0.0,0.0,0.0,0.0,-1.0
5555274,5555070,-0.000362917,0.000686051,-0.00473825,0.0,0.0,0.0,0.0,-1.0
5659230,5659071,0.000126046,0.000513578,-0.0041341,0.0,0.0,0.0,0.0,-1.0
5760833,5760696,0.000332318,0.00106273,-0.00342762,0.0,0.0,0.0,0.0,-1.0
5864895,5864701,0.000399798,0.00102534,-0.00394007,0.0,0.0,0.0,0.0,-1.0
5965710,5965495,0.000531915,3.23599e-05,-0.00409252,0.0,0.0,0.0,0.0,-1.0
