timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2850314,32767,32767,32767,32767,-76,-56,32767,32767
2854301,32767,32767,32767,32767,32767,32767,32767,32767
2858294,32767,32767,32767,32767,-47,-40,32767,32767
2862301,32767,32767,32767,32767,32767,32767,32767,32767
2866294,32767,32767,32767,32767,32767,32767,32767,32767
2870294,32767,32767,32767,32767,-58,-64,32767,32767
2874300,32767,32767,32767,32767,32767,32767,32767,32767
2878294,32767,32767,32767,32767,32767,-40,32767,32767
2882301,32767,32767,32767,32767,32767,32767,32767,32767
2886294,32767,32767,32767,32767,32767,32767,32767,32767
2890314,32767,32767,32767,32767,32767,-65,32767,32767
2894300,32767,32767,32767,32767,-76,32767,32767,32767
2898295,32767,32767,32767,32767,32767,-40,32767,32767
2902294,32767,32767,32767,32767,-46,32767,32767,32767
2906294,32767,32767,32767,32767,32767,32767,32767,32767
2910295,32767,32767,32767,32767,32767,-64,32767,32767
2914301,32767,32767,32767,32767,-59,32767,32767,32767
2918296,32767,32767,32767,32767,32767,-40,32767,32767
2922294,32767,32767,32767,32767,32767,32767,32767,32767
2926294,32767,32767,32767,32767,32767,32767,32767,32767
2930294,32767,32767,32767,32767,32767,-72,32767,32767
2934300,32767,32767,32767,32767,32767,32767,32767,32767
2938344,32767,32767,32767,32767,-76,-41,32767,32767
2942294,32767,32767,32767,32767,32767,32767,32767,32767
2946294,32767,32767,32767,32767,-47,32767,32767,32767
2950301,32767,32767,32767,32767,32767,-73,32767,32767
2954300,32767,32767,32767,32767,32767,32767,32767,32767
2958306,32767,32767,32767,32767,-59,-41,32767,32767
2962294,32767,32767,32767,32767,32767,32767,32767,32767
2966294,32767,32767,32767,32767,32767,32767,32767,32767
2970300,32767,32767,32767,32767,32767,-73,32767,32767
2974333,32767,32767,32767,32767,32767,32767,32767,32767
2978338,32767,32767,32767,32767,32767,-40,32767,32767
2982294,32767,32767,32767,32767,-75,32767,32767,32767
2986294,32767,32767,32767,32767,32767,32767,32767,32767
2990301,32767,32767,32767,32767,-48,-73,32767,32767
2994301,32767,32767,32767,32767,32767,32767,32767,32767
2998306,32767,32767,32767,32767,32767,-41,32767,32767
3002294,32767,32767,32767,32767,-58,32767,32767,32767
3006295,32767,32767,32767,32767,32767,32767,32767,32767
3010294,32767,32767,32767,32767,32767,-72,32767,32767
3014295,32767,32767,32767,32767,32767,32767,32767,32767
3018294,32767,32767,32767,32767,32767,32767,32767,32767
3022294,32767,32767,32767,32767,32767,32767,32767,32767
3026294,32767,32767,32767,32767,-75,32767,32767,32767
3030295,32767,32767,32767,32767,32767,-72,32767,32767
3034294,32767,32767,32767,32767,-47,32767,32767,32767
