timestamp,safety_switch_available,safety_off,override_available,override_enabled
2832804,1,1,0,0
2854851,1,1,0,0
2876783,1,1,0,0
2898774,1,1,0,0
2920787,1,1,0,0
2942791,1,1,0,0
2964794,1,1,0,0
2986790,1,1,0,0
3008779,1,1,0,0
3030832,1,1,0,0
3052771,1,1,0,0
3074769,1,1,0,0
3096771,1,1,0,0
3118782,1,1,0,0
3140766,1,1,0,0
3162768,1,1,0,0
3184775,1,1,0,0
3206809,1,1,0,0
3228766,1,1,0,0
3250805,1,1,0,0
3272815,1,1,0,0
3294822,1,1,0,0
3316770,1,1,0,0
3338785,1,1,0,0
3360817,1,1,0,0
3383159,1,1,0,0
3407156,1,1,0,0
3427156,1,1,0,0
3447153,1,1,0,0
3471152,1,1,0,0
3495182,1,1,0,0
3515223,1,1,0,0
3535145,1,1,0,0
3555147,1,1,0,0
3575153,1,1,0,0
3595147,1,1,0,0
3619147,1,1,0,0
3639150,1,1,0,0
3659153,1,1,0,0
3679152,1,1,0,0
3703152,1,1,0,0
3727187,1,1,0,0
3751186,1,1,0,0
3775159,1,1,0,0
3799196,1,1,0,0
3819203,1,1,0,0
3843148,1,1,0,0
3863153,1,1,0,0
3883150,1,1,0,0
3907179,1,1,0,0
3927203,1,1,0,0
3951186,1,1,0,0
3975147,1,1,0,0
3999167,1,1,0,0
4019168,1,1,0,0
4043191,1,1,0,0
4063993,1,1,0,0
4084744,1,1,0,0
4104742,1,1,0,0
4128780,1,1,0,0
4148783,1,1,0,0
4172750,1,1,0,0
4192749,1,1,0,0
4212744,1,1,0,0
4232743,1,1,0,0
4256767,1,1,0,0
4277524,1,1,0,0
4301580,1,1,0,0
4322346,1,1,0,0
4343947,1,1,0,0
4367958,1,1,0,0
4391977,1,1,0,0
4411981,1,1,0,0
4431990,1,1,0,0
4451967,1,1,0,0
4471978,1,1,0,0
4491977,1,1,0,0
4515957,1,1,0,0
4539928,1,1,0,0
4559966,1,1,0,0
4583989,1,1,0,0
4603983,1,1,0,0
4627984,1,1,0,0
4647993,1,1,0,0
4667967,1,1,0,0
4687989,1,1,0,0
4707948,1,1,0,0
4732018,1,1,0,0
4755953,1,1,0,0
4779945,1,1,0,0
4799947,1,1,0,0
4819954,1,1,0,0
4844013,1,1,0,0
4867982,1,1,0,0
4887983,1,1,0,0
4907942,1,1,0,0
4927951,1,1,0,0
4947954,1,1,0,0
4971941,1,1,0,0
4991945,1,1,0,0
5011971,1,1,0,0
5031944,1,1,0,0
5051945,1,1,0,0
5075949,1,1,0,0
5095956,1,1,0,0
5119944,1,1,0,0
5139965,1,1,0,0
5159966,1,1,0,0
5179963,1,1,0,0
5199970,1,1,0,0
5224022,1,1,0,0
5244045,1,1,0,0
5264060,1,1,0,0
5284068,1,1,0,0
5307935,1,1,0,0
5327937,1,1,0,0
5347950,1,1,0,0
5371959,1,1,0,0
5391948,1,1,0,0
5411963,1,1,0,0
5435934,1,1,0,0
5455992,1,1,0,0
5475929,1,1,0,0
5499963,1,1,0,0
5519950,1,1,0,0
5543951,1,1,0,0
5567976,1,1,0,0
5591993,1,1,0,0
5611975,1,1,0,0
5631976,1,1,0,0
5656014,1,1,0,0
5676008,1,1,0,0
5696779,1,1,0,0
5720744,1,1,0,0
5741563,1,1,0,0
5761549,1,1,0,0
5785556,1,1,0,0
5809548,1,1,0,0
5829543,1,1,0,0
5853567,1,1,0,0
5873524,1,1,0,0
5897625,1,1,0,0
5918345,1,1,0,0
5942307,1,1,0,0
5966350,1,1,0,0
