timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2850314,-0.00138823,-0.00737166,0.016435,4020,0,-0.22093,0.418312,-10.0674,4020
2854301,-0.0022582,-0.00602031,0.0145744,3987,0,-0.217569,0.423346,-10.06,3987
2858294,-0.00171516,-0.00575182,0.0156559,3993,0,-0.224794,0.422034,-10.0533,3993
2862301,-0.00234941,-0.00567218,0.0165072,4007,0,-0.210731,0.424355,-10.0384,4007
2866294,-0.000754201,-0.00629328,0.0160481,3993,0,-0.208976,0.420737,-10.0678,3993
2870294,-0.00192643,-0.00577337,0.0162849,4000,0,-0.209535,0.39601,-10.003,4000
2874300,-0.000853056,-0.00532363,0.0157661,4006,0,-0.241322,0.394274,-10.029,4006
2878294,-0.00095688,-0.00393024,0.0178558,3994,0,-0.188528,0.391645,-10.1186,3994
2882301,-0.000121942,-0.00987424,0.0173815,4007,0,-0.177014,0.344367,-9.99367,4007
2886294,-0.00214212,-0.00785934,0.0152448,3993,0,-0.245999,0.373248,-10.0077,3993
2890314,-0.00129004,-0.00741994,0.0149335,4020,0,-0.181143,0.363991,-10.0074,4020
2894300,-3.31066e-05,-0.00985313,0.0145129,3986,0,-0.214012,0.324343,-9.99604,3986
2898295,-0.000972563,-0.00287106,0.0157564,3995,0,-0.246334,0.323571,-10.0459,3995
2902294,-0.00193984,-0.00275412,0.0152383,3999,0,-0.170724,0.296591,-10.0212,3999
2906294,-0.00225544,-0.0055607,0.013843,4000,0,-0.190455,0.269913,-10.0717,4000
2910295,-0.00246819,-0.00658856,0.0153008,4001,0,-0.18453,0.245072,-10.0607,4001
2914301,-0.0016225,-0.0064209,0.0139213,4006,0,-0.215003,0.228886,-10.0511,4006
2918296,-0.00396374,-0.0064728,0.0152055,3995,0,-0.205743,0.211445,-10.013,3995
2922294,-0.00202318,-0.00710077,0.0149524,3998,0,-0.222402,0.226734,-9.98542,3998
2926294,-0.000554362,-0.00438287,0.0135644,4000,0,-0.233807,0.213123,-10.0406,4000
2930294,-0.00119478,-0.00573966,0.0129739,4000,0,-0.228501,0.191057,-10.0401,4000
2934300,-0.00142073,-0.00505722,0.0118348,4006,0,-0.258289,0.201925,-10.0602,4006
2938344,-0.00228424,-0.00433848,0.012391,4044,0,-0.234981,0.2485,-10.0447,4044
2942294,-0.0021486,-0.0084555,0.0104206,3950,0,-0.234351,0.288103,-10.0405,3950
2946294,-0.000573439,-0.00969606,0.0103557,4000,0,-0.258267,0.344725,-10.0642,4000
2950301,-0.00249328,-0.00990236,0.0103681,4007,0,-0.247863,0.43953,-10.0888,4007
2954300,-0.00153799,-0.010012,0.0104703,3999,0,-0.261015,0.490062,-10.0402,3999
2958306,0.000387261,-0.00859227,0.0122326,4006,0,-0.259342,0.541165,-10.0094,4006
2962294,-0.00174507,-0.00636115,0.012093,3988,0,-0.264879,0.582684,-9.96134,3988
2966294,-0.000977238,-0.00611791,0.0142434,4000,0,-0.273738,0.605174,-10.0068,4000
2970300,-0.000445129,-0.00611556,0.0141313,4006,0,-0.274103,0.595918,-9.99174,4006
2974333,-0.00192703,-0.00578207,0.0167173,4033,0,-0.275733,0.615509,-10.0357,4033
2978338,-0.000523475,-0.0038524,0.0161404,4005,0,-0.248085,0.610757,-10.0636,4005
2982294,-0.00117842,-0.00589093,0.0163862,3956,0,-0.270357,0.60189,-10.0436,3956
2986294,-0.00224563,-0.00565488,0.0160805,4000,0,-0.291132,0.595546,-10.0296,4000
2990301,-0.00224433,-0.00598773,0.0163856,4007,0,-0.269268,0.576109,-9.98773,4007
2994301,-0.00234584,-0.00710758,0.0177273,4000,0,-0.252982,0.536145,-9.98037,4000
2998306,-0.00255912,-0.00633769,0.0173351,4005,0,-0.255988,0.517134,-9.99993,4005
3002294,-0.00202361,-0.00495598,0.0171676,3988,0,-0.225943,0.479935,-10.0405,3988
3006295,-0.000534172,-0.00470659,0.0163193,4001,0,-0.228009,0.42113,-10.0437,4001
3010294,-0.00245322,-0.00493066,0.0163287,3999,0,-0.216698,0.370622,-10.0732,3999
3014295,-0.00205335,-0.00604082,0.0154328,4001,0,-0.193717,0.288792,-10.0665,4001
3018294,-0.0026671,-0.0069016,0.017953,3999,0,-0.190745,0.218257,-10.0636,3999
3022294,-0.00212225,-0.0051175,0.018446,4000,0,-0.212184,0.167223,-10.0441,4000
3026294,-0.0012868,-0.00530842,0.0151348,4000,0,-0.207938,0.131773,-10.044,4000
3030295,-0.00119026,-0.00440206,0.0142061,4001,0,-0.186961,0.130673,-10.0648,4001
3034294,-0.00152961,-0.00499087,0.0126917,3999,0,-0.178876,0.134829,-10.0724,3999
3038295,-0.000140521,-0.00519047,0.0123556,4001,0,-0.154275,0.12354,-10.0552,4001
3042300,-0.00152429,-0.00559096,0.0118202,4005,0,-0.148999,0.120853,-10.0473,4005
3046294,-0.000873153,-0.00450996,0.0118497,3994,0,-0.154379,0.153072,-10.0627,3994
3050294,-0.0024915,-0.00768089,0.010672,4000,0,-0.161438,0.194541,-10.0432,4000
3054294,-0.00311809,-0.00720802,0.0119809,4000,0,-0.17344,0.245015,-10.0368,4000
3058326,-0.0037545,-0.00478847,0.0129232,4032,0,-0.151756,0.297793,-10.0343,4032
3062301,-0.00419867,-0.00676977,0.00954295,3975,0,-0.163286,0.361899,-10.0298,3975
3066344,-0.00193517,-0.00515764,0.00908812,4043,0,-0.180209,0.452746,-10.0534,4043
3070294,-0.00209534,-0.00552796,0.0121484,3950,0,-0.180366,0.544375,-10.0873,3950
3074294,-0.00417032,-0.00782022,0.0141847,4000,0,-0.213552,0.599363,-10.0408,4000
3078295,-0.00321002,-0.00465551,0.0149578,4001,0,-0.244207,0.625924,-10.0343,4001
3082300,-0.000756307,-0.00400212,0.0146498,4005,0,-0.244706,0.647155,-10.0369,4005
3086344,-0.000127685,-0.00876206,0.0163867,4044,0,-0.253259,0.623248,-9.99586,4044
3090294,-0.00149386,-0.00563105,0.0185478,3950,0,-0.264706,0.586996,-10.027,3950
3094294,-0.000951401,-0.00415123,0.0184726,4000,0,-0.241876,0.534267,-10.0495,4000
3098294,-0.00190048,-0.00727836,0.019421,4000,0,-0.24763,0.471677,-10.0454,4000
3102301,-0.00136743,-0.0069555,0.0192184,4007,0,-0.274514,0.418059,-10.0498,4007
3106331,-0.00170548,-0.00659846,0.0181702,4030,0,-0.261968,0.36378,-10.0554,4030
3110294,-0.00225852,-0.00594484,0.0152892,3963,0,-0.298447,0.288224,-10.0197,3963
3114294,-0.000429207,-0.00627008,0.0180883,4000,0,-0.291605,0.258928,-10.0208,4000
3118294,-0.000869397,-0.00552672,0.0155449,4000,0,-0.277503,0.223169,-9.99439,4000
3122301,-0.000331394,-0.00351061,0.0156219,4007,0,-0.274293,0.242905,-10.0191,4007
3126342,-0.00246158,-0.00529872,0.0148163,4041,0,-0.247827,0.289562,-10.031,4041
3130295,-0.00257554,-0.00740467,0.0139684,3953,0,-0.245549,0.311904,-10.0172,3953
3134294,-0.00235621,-0.00580753,0.0145864,3999,0,-0.248044,0.327997,-10.0378,3999
3138294,-0.00334128,-0.00451476,0.0115476,4000,0,-0.260858,0.358949,-10.009,4000
3142320,0.00048595,-0.0052015,0.0101195,4026,0,-0.261964,0.381794,-10.0404,4026
3146312,-0.00135119,-0.00492984,0.00842852,3992,0,-0.230962,0.356868,-10.0068,3992
3150271,-0.0028171,-0.00627545,0.0103118,3959,0,-0.250811,0.354244,-9.99982,3959
3154301,-0.00270297,-0.00239468,0.0115261,4030,0,-0.231855,0.366707,-10.0237,4030
3158271,-0.000460509,-0.00524686,0.010976,3970,0,-0.207337,0.360992,-10.0371,3970
3162281,-0.00216374,-0.00471967,0.0109996,4010,0,-0.217892,0.364186,-10.0451,4010
3166271,-0.00258846,-0.00647506,0.0126398,3990,0,-0.205042,0.377249,-10.0338,3990
3170271,-0.000352979,-0.00683167,0.0137769,4000,0,-0.200347,0.332722,-10.0079,4000
3174301,-0.00184406,-0.00810207,0.0107647,4030,0,-0.210027,0.33464,-10.0018,4030
3178270,-0.00238438,-0.0044091,0.011224,3969,0,-0.202778,0.347864,-9.99543,3969
3182277,-0.00351501,-0.00295341,0.0125883,4007,0,-0.214676,0.329869,-10.0201,4007
3186270,-0.00344702,-0.00361491,0.013084,3993,0,-0.202964,0.329236,-10.0093,3993
3190271,-0.00501089,-0.00594432,0.0133067,4001,0,-0.183918,0.32911,-10.0194,4001
3194271,-0.00365238,-0.00743838,0.0129501,4000,0,-0.187567,0.301604,-10.0214,4000
3198271,-0.00340957,-0.00652568,0.0134596,4000,0,-0.191482,0.333923,-10.0279,4000
3202277,-0.0014215,-0.00909275,0.0145552,4006,0,-0.201941,0.362159,-10.0205,4006
3206270,-0.00194992,-0.00903124,0.0125427,3993,0,-0.222423,0.357769,-10.0132,3993
3210271,6.78383e-05,-0.00600189,0.0107367,4001,0,-0.231199,0.363095,-10.0254,4001
3214270,-0.00356031,-0.00500455,0.0105748,3999,0,-0.236083,0.393493,-10.0361,3999
3218271,7.05988e-05,-0.0041457,0.0129085,4001,0,-0.22805,0.388286,-10.046,4001
3222270,-0.000637571,-0.0054846,0.0147137,3999,0,-0.232225,0.385948,-10.0294,3999
3226303,-0.00151844,-0.00479863,0.0131244,4033,0,-0.227908,0.438266,-10.0315,4033
3230270,-0.000251583,-0.006964,0.0117567,3967,0,-0.229096,0.451011,-9.9985,3967
3234313,-0.003733,-0.0079187,0.0141774,4043,0,-0.252934,0.474768,-9.98391,4043
3238271,-0.00460442,-0.00698598,0.0120943,3958,0,-0.239166,0.53202,-9.99792,3958
3242270,-0.00142567,-0.00668744,0.0125,3999,0,-0.231019,0.5463,-9.99652,3999
3246274,-0.00118891,-0.00589056,0.0139435,4004,0,-0.248716,0.538248,-10.0114,4004
3250277,-0.00278964,-0.00583414,0.0125618,4003,0,-0.239133,0.553229,-10.0381,4003
3254310,-0.00216189,-0.00606012,0.0128688,4033,0,-0.210841,0.532327,-10.0527,4033
3258271,-0.00288472,-0.00841797,0.0157627,3961,0,-0.21515,0.512419,-10.0597,3961
3262271,-0.00225576,-0.00592717,0.0124824,4000,0,-0.203614,0.521667,-10.03,4000
3266270,-0.00164759,-0.00613711,0.0120035,3999,0,-0.193892,0.506239,-10.0208,3999
3270277,-0.00351885,-0.00570022,0.0140491,4007,0,-0.192836,0.473424,-10.0174,4007
3274273,-0.00311645,-0.00493085,0.0136656,3996,0,-0.189849,0.446379,-9.98832,3996
3278271,-0.00151797,-0.00412273,0.0127444,3998,0,-0.177997,0.395555,-10.0038,3998
3282270,0.00122793,-0.00580139,0.0126364,3999,0,-0.187365,0.349438,-9.99351,3999
3286271,-0.00254934,-0.00479173,0.0124036,4001,0,-0.197921,0.330392,-10.0488,4001
3290277,-0.00229929,-0.00193546,0.0135489,4006,0,-0.187815,0.282262,-10.0554,4006
3294305,-0.000966891,-0.00373217,0.0159368,4028,0,-0.187732,0.245523,-10.0372,4028
3298271,-0.00216563,-0.00688644,0.0122127,3966,0,-0.193473,0.259914,-10.0366,3966
3302278,-0.00280586,-0.00852249,0.0108503,4007,0,-0.205715,0.250307,-10.0236,4007
3306270,-0.00153681,-0.0100138,0.0107745,3992,0,-0.221705,0.255287,-10.0312,3992
3310309,-0.0028881,-0.00725887,0.0132473,4039,0,-0.21207,0.269772,-10.0226,4039
3314271,-0.00216636,-0.00791129,0.0113001,3962,0,-0.226218,0.269948,-9.98897,3962
3318271,-0.00300848,-0.00804986,0.0117373,4000,0,-0.229836,0.278685,-10.0301,4000
3322271,-0.00196102,-0.00515197,0.0111917,4000,0,-0.217965,0.299159,-10.0388,4000
3326271,-0.00120012,-0.00749171,0.0119452,4000,0,-0.252695,0.312426,-10.0454,4000
3330280,-0.000989212,-0.00709814,0.0145016,4009,0,-0.247259,0.348903,-10.0396,4009
3334271,-0.00342241,-0.00681085,0.0133838,3991,0,-0.252503,0.366109,-10.009,3991
3338271,-0.000695149,-0.00830481,0.0127739,4000,0,-0.26957,0.377203,-10.0372,4000
3342270,-0.00151882,-0.007697,0.0137615,3999,0,-0.267904,0.396381,-10.0017,3999
3346270,-0.00119757,-0.00543593,0.0123454,4000,0,-0.286129,0.432226,-10.0024,4000
3350277,-0.00278123,-0.00579162,0.0143616,4007,0,-0.272841,0.454101,-10.0044,4007
3354270,-0.00278151,-0.00613076,0.0146968,3993,0,-0.287063,0.461673,-10.0147,3993
3358271,0.00101387,-0.00615817,0.0123302,4001,0,-0.288002,0.454729,-10.042,4001
3362313,-1.99993e-05,-0.0062977,0.0135796,4042,0,-0.261053,0.45496,-10.0379,4042
3366271,0.000617472,-0.00496125,0.0149187,3958,0,-0.262792,0.453875,-10.0192,3958
3370287,-0.0021272,-0.00548967,0.0145044,4016,0,-0.267245,0.426167,-10.0345,4016
3374270,-0.0031071,-0.00684899,0.0140156,3983,0,-0.269095,0.420427,-10.0349,3983
3378271,-0.00237089,-0.00497007,0.0141855,4001,0,-0.267255,0.409939,-10.0486,4001
3382309,-0.000757824,-0.00459281,0.0139829,4038,0,-0.266523,0.395604,-10.0006,4038
3386271,-0.00129007,-0.00521244,0.0155588,3962,0,-0.257532,0.401384,-10.0165,3962
3390277,-0.00130208,-0.00683969,0.0136877,4006,0,-0.227664,0.399465,-10.0246,4006
