timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
2850749,2.6878,0.0496619,0.825508
3054698,2.66985,0.048325,0.830624
3258660,2.69948,0.048729,0.824642
3460207,2.66402,0.049342,0.821809
3662911,2.66987,0.0485167,0.828797
3867991,2.66862,0.0494253,0.827622
4068933,2.63661,0.04824,0.828218
4273375,2.66832,0.0494328,0.82747
4475655,2.64661,0.0504802,0.831151
4680124,2.64176,0.0498071,0.829166
4880954,2.68131,0.050564,0.823902
5083772,2.64716,0.0490048,0.831881
5288100,2.66889,0.050798,0.833139
5488541,2.65041,0.0503177,0.829807
5689123,2.66477,0.0484775,0.826141
5893280,2.68652,0.0514598,0.830582
