timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2844700,0.146835,0.546437,0.883905
2854292,0.153961,0.531426,0.90698
2863877,0.152126,0.551364,0.892546
2874292,0.16783,0.549676,0.890687
2883881,0.157456,0.541964,0.907386
2894292,0.166236,0.536352,0.915578
2903892,0.164422,0.55264,0.904386
2914293,0.164422,0.55264,0.904386
2923069,0.160948,0.541964,0.907364
2934292,0.134744,0.533251,0.905476
2943069,0.146897,0.546026,0.894057
2954292,0.152291,0.546753,0.919475
2963069,0.153924,0.549264,0.900924
2974324,0.148718,0.554327,0.906246
2983069,0.152164,0.537038,0.898744
2994293,0.146896,0.539,0.893772
3003069,0.160971,0.552365,0.911176
3023070,0.160971,0.552365,0.911176
3031913,0.15572,0.543652,0.909159
3042292,0.154007,0.552228,0.914602
3051892,0.157419,0.559802,0.90133
3062292,0.160867,0.549539,0.894114
3071892,0.157394,0.542376,0.897234
3082292,0.16969,0.550677,0.909359
3091912,0.152206,0.536764,0.905512
3102292,0.162682,0.536764,0.905448
3111929,0.162702,0.533114,0.908689
3122293,0.162702,0.533114,0.908689
3131069,0.15225,0.55054,0.91285
3142312,0.155743,0.55054,0.912828
3151092,0.152229,0.547165,0.909323
3162272,0.146982,0.552502,0.907877
3171092,0.167974,0.545202,0.914232
3182268,0.157474,0.531289,0.910342
3191100,0.162683,0.540276,0.905591
3202268,0.15917,0.540414,0.902228
3211100,0.159275,0.546753,0.919432
3231104,0.159275,0.546753,0.919432
3239893,0.16093,0.55264,0.904408
3250268,0.166198,0.550677,0.90938
3259925,0.148799,0.546753,0.919496
3270269,0.150494,0.548852,0.911097
3279930,0.159295,0.543103,0.922674
3290268,0.160964,0.524263,0.910036
3299893,0.174876,0.545751,0.900654
3310301,0.162789,0.550129,0.922937
3319893,0.164521,0.53439,0.920594
3330272,0.164521,0.53439,0.920594
3339100,0.155762,0.54689,0.91607
3350268,0.166219,0.55054,0.912764
3359100,0.164437,0.531426,0.906916
3370279,0.157456,0.541964,0.907386
3379100,0.169688,0.540139,0.908932
3390268,0.162725,0.543515,0.912501
3399104,0.160907,0.545751,0.900739
3410269,0.154028,0.552091,0.917986
3419102,0.16283,0.549854,0.929705
3430292,0.155797,0.518514,0.921698
3439101,0.155797,0.518514,0.921698
3447931,0.1627,0.526088,0.908405
3458292,0.162686,0.550815,0.906018
3467893,0.160992,0.552228,0.914559
3478324,0.148758,0.55054,0.912871
3487900,0.159172,0.547439,0.902513
3498293,0.162745,0.539865,0.915742
3507900,0.159172,0.547439,0.902513
3518292,0.152143,0.533663,0.895218
3527900,0.152229,0.547165,0.909323
3538293,0.152229,0.547165,0.909323
3547870,0.152229,0.547165,0.909323
3558292,0.157496,0.538177,0.914011
3567093,0.164441,0.54899,0.907628
3578292,0.166196,0.540139,0.908953
3587093,0.14355,0.545065,0.917765
3598295,0.155637,0.540688,0.895482
3607094,0.162686,0.554327,0.90616
3618292,0.167869,0.538863,0.897028
3627093,0.167897,0.566828,0.901551
3638294,0.155721,0.547165,0.909302
3647093,0.155721,0.547165,0.909302
3655893,0.159191,0.540276,0.905612
3666341,0.155596,0.544475,0.888856
3675893,0.148696,0.550952,0.902719
3686305,0.152188,0.547439,0.902556
3695893,0.162601,0.544338,0.892197
3706294,0.152148,0.554739,0.896073
3715893,0.162621,0.540688,0.895439
3726299,0.150346,0.539275,0.886983
3735893,0.169671,0.554327,0.906118
3746300,0.169671,0.554327,0.906118
3756669,0.169671,0.554327,0.906118
3766300,0.146957,0.535076,0.903781
3775093,0.166116,0.551226,0.895845
3786350,0.150409,0.542376,0.897277
3795093,0.169626,0.540551,0.89878
3806350,0.162728,0.554053,0.912928
3815093,0.150474,0.552502,0.907856
3826337,0.162645,0.554602,0.899392
3835093,0.15915,0.544064,0.898987
3846308,0.157435,0.542101,0.904002
3855094,0.157435,0.542101,0.904002
3863893,0.160911,0.559802,0.901309
3874299,0.157461,0.563041,0.90824
3883893,0.15049,0.534801,0.910527
3894304,0.146961,0.55264,0.904493
3903902,0.155635,0.533663,0.895197
3914300,0.150409,0.542376,0.897277
3923893,0.15045,0.538589,0.903902
3934338,0.162621,0.540688,0.895439
3943873,0.15217,0.558115,0.899599
3954343,0.153923,0.545751,0.900782
3963870,0.153923,0.545751,0.900782
3974344,0.160887,0.549401,0.897498
3983869,0.159194,0.554327,0.906182
3994325,0.167977,0.555741,0.914659
4003093,0.155741,0.543515,0.912543
4014300,0.150413,0.556427,0.897846
4023099,0.139998,0.556015,0.908062
4034300,0.166115,0.547714,0.895702
4043093,0.166156,0.547439,0.90247
4054300,0.150513,0.54169,0.914196
4063093,0.150513,0.54169,0.914196
4072699,0.150513,0.54169,0.914196
4082342,0.155622,0.565414,0.893095
4091869,0.162643,0.547576,0.899108
4102315,0.166135,0.544064,0.898944
4111869,0.150513,0.545202,0.914339
4122334,0.157559,0.541278,0.924305
4131868,0.150452,0.549127,0.904329
